partido_manual;localidad_manual;codigo_postal_manual;poblacion_manual;censo_ano
Mar Chiquita;Atlántida;7607;886;
Mar Chiquita;Calfucura;7174;;
Mar Chiquita;Camet Norte;7609;500;
Mar Chiquita;Coronel Vidal;7174;6320;2001
Mar Chiquita;Frente Mar;7607;107;
Mar Chiquita;General Piran;7172;2896;
Mar Chiquita;J. M. Cobo;7609;;
Mar Chiquita;La Armonía;7609;105;
Mar Chiquita;La Baliza;7609;94;
Mar Chiquita;La Caleta;7609;760;
Mar Chiquita;La Tehuelche;0;;
Mar Chiquita;Mar Chiquita;7109;394;
Mar Chiquita;Mar De Cobo;7600;406;
Mar Chiquita;Nahuel Ruca;7613;;
Mar Chiquita;Playa Dorada;7609;235;
Mar Chiquita;Santa Clara Del Mar;7309;7.713;
Mar Chiquita;Santa Elena;7609;559;
Mar Chiquita;Vivorata;7612;792;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
