Año del censo;Provincia;Código del partido;Partido;Total EAPS;EAPS pequeñas (<= 500ha);EAPS grandes (>500 ha);Total de HA;HA ocupadas por EAPS pequeñas;HA ocupadas por EAPS grandes;HA sin limite definido;Superficie promedio;EAPS en manos de Empresas;EAPS en manos de Personas Humanas;EAPS en manos de otros;Superficie en manos de Empresas;Superficie en mano de Personas Humanas;Superficie en Otras manos;Cantidad de Mujeres propietarias de EAPs;Cantidad de Hombres propietarios de EAPs;Cantidad Sin discriminar propietaries EAPS;Mujeres Residentes del campo;Varones Residentes del campo;Empleo;Total ha implantadas;Cantidad de hectáreas implantadas de Cereales;Maiz para grano por hectárea;Trigo pan por hectárea;Otros Cereales por hectareas;Cantidad de hectáreas implantadas de Oleaginosas;Soja por hectárea;Otras oleaginosas por hectareas;Cantidad de hectáreas implantadas de Forrajeras;Forrajeras anuales por hectáreas;Forrajeras perennes por hectáreas;Cantidad de ha para otras plantaciones;Cantidad de hectareas dedicadas a Bosques y montes naturales;Prácticas orgánicasbiodinámicas/agroecológicas_EAPs
2018;Buenos Aires;6;Provincia de Buenos Aires;36744;25563;11181;23599666;4150112;19449554;1;642;9072;25433;2094;11657123;9554807;2232703;5280;19671;482;31350;56570;53295;11196977;3880253;1558297;1486063;835894;4510442;3899005;611437;2665266;1604875;1060391;140507;603345;550
2018;Buenos Aires;7;Adolfo Alsina;554;346;208;496603;78471;418132;0;896;105;423;17;252875;207420;23954;70;349;4;342;755;595;275518;117979;27004;68174;22801;54835;31023;23813;99032;74792;24240;3672;980;4
2018;Buenos Aires;14;Adolfo Gonzales Chaves;286;136;150;334167;33207;245268;55692;1168;77;204;0;160513;136574;27690;54;148;2;140;341;418;172930;77474;8901;38500;30073;64575;60965;3610;29796;18797;10999;1085;284;3
2018;Buenos Aires;21;Alberti;207;181;26;85819;25967;34003;25849;415;56;134;6;51718;25118;8920;25;107;2;59;117;211;76571;36735;18916;15511;2308;34435;34435;0;3618;1604;2014;1783;165;0
2018;Buenos Aires;28;Almirante Brown;44;44;0;845;401;0;444;19;0;43;0;400;436;0;10;33;0;77;141;92;913;400;0;0;400;28;28;0;4;4;0;481;0;7
2018;Buenos Aires;77;Arrecifes;233;183;50;98490;29438;58104;10948;423;86;136;8;55643;32403;10351;19;114;3;314;486;445;108437;37001;17231;14657;5113;65303;64864;439;3697;1144;2553;2437;53;6
2018;Buenos Aires;35;Avellaneda;0;0;0;38;11;0;27;0;0;3;0;0;24;0;2;1;0;8;7;11;12;0;0;0;0;0;0;0;0;0;0;12;0;0
2018;Buenos Aires;42;Ayacucho;735;454;281;544429;89623;425468;29338;741;200;494;39;310325;193466;40302;151;336;7;575;929;1069;109809;19693;14302;2648;2744;29790;15056;14734;59992;33942;26050;334;65;7
2018;Buenos Aires;49;Azul;668;411;257;498390;83268;398571;16550;746;186;422;42;246110;186907;64272;103;312;7;503;949;947;206072;64505;23249;23208;18048;78888;67878;11010;61365;30664;30701;1315;229;3
2018;Buenos Aires;56;Bahía Blanca;265;165;100;194946;31164;146104;17678;736;54;204;3;65206;106779;22961;31;172;1;224;392;371;54350;19378;669;13313;5396;30;30;0;34874;30678;4196;68;3569;0
