;Cantidad de personas;Año del censo;Partido;Sexo de nacimiento
0;31535;2018;Provincia de Buenos Aires;Mujeres Residentes del campo
1;343;2018;Adolfo Alsina;Mujeres Residentes del campo
2;140;2018;Adolfo Gonzales Chaves;Mujeres Residentes del campo
3;61;2018;Alberti;Mujeres Residentes del campo
4;78;2018;Almirante Brown;Mujeres Residentes del campo
5;314;2018;Arrecifes;Mujeres Residentes del campo
6;8;2018;Avellaneda;Mujeres Residentes del campo
7;582;2018;Ayacucho;Mujeres Residentes del campo
8;505;2018;Azul;Mujeres Residentes del campo
9;226;2018;Bahía Blanca;Mujeres Residentes del campo
10;317;2018;Balcarce;Mujeres Residentes del campo
11;303;2018;Baradero;Mujeres Residentes del campo
12;347;2018;Benito Juárez;Mujeres Residentes del campo
13;386;2018;Berazategui;Mujeres Residentes del campo
14;24;2018;Berisso;Mujeres Residentes del campo
15;425;2018;Bolívar;Mujeres Residentes del campo
16;176;2018;Bragado;Mujeres Residentes del campo
17;277;2018;Brandsen;Mujeres Residentes del campo
18;289;2018;Campana;Mujeres Residentes del campo
19;295;2018;Cañuelas;Mujeres Residentes del campo
20;103;2018;Capitán Sarmiento;Mujeres Residentes del campo
21;155;2018;Carlos Casares;Mujeres Residentes del campo
22;149;2018;Carlos Tejedor;Mujeres Residentes del campo
23;104;2018;Carmen de Areco;Mujeres Residentes del campo
24;145;2018;Castelli;Mujeres Residentes del campo
25;150;2018;Chacabuco;Mujeres Residentes del campo
26;349;2018;Chascomús;Mujeres Residentes del campo
27;184;2018;Chivilcoy;Mujeres Residentes del campo
28;81;2018;Colón;Mujeres Residentes del campo
29;77;2018;Coronel de Marina Leonardo Rosales;Mujeres Residentes del campo
30;237;2018;Coronel Dorrego;Mujeres Residentes del campo
31;125;2018;Coronel Pringles;Mujeres Residentes del campo
32;416;2018;Coronel Suárez;Mujeres Residentes del campo
33;355;2018;Daireaux;Mujeres Residentes del campo
34;98;2018;Dolores;Mujeres Residentes del campo
35;9;2018;Ensenada;Mujeres Residentes del campo
36;19;2018;Escobar;Mujeres Residentes del campo
37;40;2018;Esteban Echeverría;Mujeres Residentes del campo
38;262;2018;Exaltación de la Cruz;Mujeres Residentes del campo
39;5;2018;Ezeiza;Mujeres Residentes del campo
40;797;2018;Florencio Varela;Mujeres Residentes del campo
41;125;2018;Florentino Ameghino;Mujeres Residentes del campo
42;193;2018;General Alvarado;Mujeres Residentes del campo
43;348;2018;General Alvear;Mujeres Residentes del campo
44;34;2018;General Arenales;Mujeres Residentes del campo
45;213;2018;General Belgrano;Mujeres Residentes del campo
46;230;2018;General Guido;Mujeres Residentes del campo
47;203;2018;General Juan Madariaga;Mujeres Residentes del campo
48;311;2018;General La Madrid;Mujeres Residentes del campo
49;258;2018;General Las Heras;Mujeres Residentes del campo
50;200;2018;General Lavalle;Mujeres Residentes del campo
51;312;2018;General Paz;Mujeres Residentes del campo
52;129;2018;General Pinto;Mujeres Residentes del campo
53;780;2018;General Pueyrredón;Mujeres Residentes del campo
54;131;2018;General Rodríguez;Mujeres Residentes del campo
55;0;2018;General San Martín;Mujeres Residentes del campo
56;119;2018;General Viamonte;Mujeres Residentes del campo
57;329;2018;General Villegas;Mujeres Residentes del campo
58;402;2018;Guaminí;Mujeres Residentes del campo
59;108;2018;Hipólito Yrigoyen;Mujeres Residentes del campo
60;0;2018;Hurlingham;Mujeres Residentes del campo
61;0;2018;Ituzaingó;Mujeres Residentes del campo
62;2;2018;José C, Paz;Mujeres Residentes del campo
63;522;2018;Junín;Mujeres Residentes del campo
64;3;2018;La Costa;Mujeres Residentes del campo
65;12;2018;La Matanza;Mujeres Residentes del campo
66;0;2018;Lanús;Mujeres Residentes del campo
67;3144;2018;La Plata;Mujeres Residentes del campo
68;481;2018;Laprida;Mujeres Residentes del campo
69;324;2018;Las Flores;Mujeres Residentes del campo
70;148;2018;Leandro N, Alem;Mujeres Residentes del campo
71;63;2018;Lezama;Mujeres Residentes del campo
