;HA de EAPs;Año del censo;Partido;Tipo forrajera
0;1604875;2018;Provincia de Buenos Aires;2.Forrajeras anuales
1;74792;2018;Adolfo Alsina;2.Forrajeras anuales
2;18797;2018;Adolfo Gonzales Chaves;2.Forrajeras anuales
3;1604;2018;Alberti;2.Forrajeras anuales
4;4;2018;Almirante Brown;2.Forrajeras anuales
5;1144;2018;Arrecifes;2.Forrajeras anuales
6;0;2018;Avellaneda;2.Forrajeras anuales
7;33942;2018;Ayacucho;2.Forrajeras anuales
8;30664;2018;Azul;2.Forrajeras anuales
9;30678;2018;Bahía Blanca;2.Forrajeras anuales
10;15697;2018;Balcarce;2.Forrajeras anuales
11;1388;2018;Baradero;2.Forrajeras anuales
12;23685;2018;Benito Juárez;2.Forrajeras anuales
13;0;2018;Berazategui;2.Forrajeras anuales
14;1;2018;Berisso;2.Forrajeras anuales
15;21681;2018;Bolívar;2.Forrajeras anuales
16;2696;2018;Bragado;2.Forrajeras anuales
17;3443;2018;Brandsen;2.Forrajeras anuales
18;153;2018;Campana;2.Forrajeras anuales
19;3622;2018;Cañuelas;2.Forrajeras anuales
20;1722;2018;Capitán Sarmiento;2.Forrajeras anuales
21;9973;2018;Carlos Casares;2.Forrajeras anuales
22;10355;2018;Carlos Tejedor;2.Forrajeras anuales
23;2158;2018;Carmen de Areco;2.Forrajeras anuales
24;7335;2018;Castelli;2.Forrajeras anuales
25;3423;2018;Chacabuco;2.Forrajeras anuales
26;7730;2018;Chascomús;2.Forrajeras anuales
27;1937;2018;Chivilcoy;2.Forrajeras anuales
28;539;2018;Colón;2.Forrajeras anuales
29;13290;2018;Coronel de Marina Leonardo Rosales;2.Forrajeras anuales
30;58521;2018;Coronel Dorrego;2.Forrajeras anuales
31;53505;2018;Coronel Pringles;2.Forrajeras anuales
32;51659;2018;Coronel Suárez;2.Forrajeras anuales
33;19495;2018;Daireaux;2.Forrajeras anuales
34;3665;2018;Dolores;2.Forrajeras anuales
35;0;2018;Ensenada;2.Forrajeras anuales
36;99;2018;Escobar;2.Forrajeras anuales
37;0;2018;Esteban Echeverría;2.Forrajeras anuales
38;2245;2018;Exaltación de la Cruz;2.Forrajeras anuales
39;60;2018;Ezeiza;2.Forrajeras anuales
40;0;2018;Florencio Varela;2.Forrajeras anuales
41;8214;2018;Florentino Ameghino;2.Forrajeras anuales
