;HA de EAPs;Año del censo;Partido;Tipo de Oleaginosa
0;3899055;2018;Provincia de Buenos Aires;1.Soja
1;31023;2018;Adolfo Alsina;1.Soja
2;60965;2018;Adolfo Gonzales Chaves;1.Soja
3;34435;2018;Alberti;1.Soja
4;28;2018;Almirante Brown;1.Soja
5;64864;2018;Arrecifes;1.Soja
6;0;2018;Avellaneda;1.Soja
7;15056;2018;Ayacucho;1.Soja
8;67878;2018;Azul;1.Soja
9;30;2018;Bahía Blanca;1.Soja
10;45014;2018;Balcarce;1.Soja
11;43484;2018;Baradero;1.Soja
12;48096;2018;Benito Juárez;1.Soja
13;60;2018;Berazategui;1.Soja
14;0;2018;Berisso;1.Soja
15;62164;2018;Bolívar;1.Soja
16;59096;2018;Bragado;1.Soja
17;190;2018;Brandsen;1.Soja
18;3533;2018;Campana;1.Soja
19;3857;2018;Cañuelas;1.Soja
20;23420;2018;Capitán Sarmiento;1.Soja
21;42560;2018;Carlos Casares;1.Soja
22;64024;2018;Carlos Tejedor;1.Soja
23;26554;2018;Carmen de Areco;1.Soja
24;4264;2018;Castelli;1.Soja
25;75274;2018;Chacabuco;1.Soja
26;12884;2018;Chascomús;1.Soja
27;60009;2018;Chivilcoy;1.Soja
28;37396;2018;Colón;1.Soja
29;0;2018;Coronel de Marina Leonardo Rosales;1.Soja
30;48597;2018;Coronel Dorrego;1.Soja
31;33753;2018;Coronel Pringles;1.Soja
32;79795;2018;Coronel Suárez;1.Soja
33;65060;2018;Daireaux;1.Soja
34;6;2018;Dolores;1.Soja
35;0;2018;Ensenada;1.Soja
36;175;2018;Escobar;1.Soja
37;0;2018;Esteban Echeverría;1.Soja
38;17735;2018;Exaltación de la Cruz;1.Soja
39;352;2018;Ezeiza;1.Soja
40;200;2018;Florencio Varela;1.Soja
41;36851;2018;Florentino Ameghino;1.Soja
42;32459;2018;General Alvarado;1.Soja
43;11338;2018;General Alvear;1.Soja
44;51105;2018;General Arenales;1.Soja
45;18675;2018;General Belgrano;1.Soja
46;2937;2018;General Guido;1.Soja
47;8882;2018;General Juan Madariaga;1.Soja
48;25646;2018;General La Madrid;1.Soja
49;1668;2018;General Las Heras;1.Soja
50;120;2018;General Lavalle;1.Soja
51;2925;2018;General Paz;1.Soja
52;55565;2018;General Pinto;1.Soja
53;18602;2018;General Pueyrredón;1.Soja
54;2622;2018;General Rodríguez;1.Soja
55;0;2018;General San Martín;1.Soja
56;54520;2018;General Viamonte;1.Soja
57;189413;2018;General Villegas;1.Soja
58;65980;2018;Guaminí;1.Soja
59;43634;2018;Hipólito Yrigoyen;1.Soja
60;0;2018;Hurlingham;1.Soja
61;0;2018;Ituzaingó;1.Soja
62;0;2018;José C, Paz;1.Soja
63;74998;2018;Junín;1.Soja
64;0;2018;La Costa;1.Soja
65;1230;2018;La Matanza;1.Soja
66;0;2018;Lanús;1.Soja
67;448;2018;La Plata;1.Soja
68;8042;2018;Laprida;1.Soja
69;11051;2018;Las Flores;1.Soja
70;48651;2018;Leandro N, Alem;1.Soja
71;5675;2018;Lezama;1.Soja
72;112556;2018;Lincoln;1.Soja
73;88199;2018;Lobería;1.Soja
74;27431;2018;Lobos;1.Soja
75;0;2018;Lomas de Zamora;1.Soja
76;14652;2018;Luján;1.Soja
77;1299;2018;Magdalena;1.Soja
78;4038;2018;Maipú;1.Soja
79;0;2018;Malvinas Argentinas;1.Soja
80;9113;2018;Mar Chiquita;1.Soja
81;3937;2018;Marcos Paz;1.Soja
82;14586;2018;Mercedes;1.Soja
83;885;2018;Merlo;1.Soja
84;23343;2018;Monte;1.Soja
85;0;2018;Monte Hermoso;1.Soja
86;83;2018;Moreno;1.Soja
87;0;2018;Morón;1.Soja
88;30743;2018;Navarro;1.Soja
89;93747;2018;Necochea;1.Soja
90;105414;2018;9 de julio;1.Soja
91;39638;2018;Olavarría;1.Soja
92;30;2018;Patagones;1.Soja
93;111042;2018;Pehuajó;1.Soja
94;40818;2018;Pellegrini;1.Soja
95;131512;2018;Pergamino;1.Soja
96;3932;2018;Pila;1.Soja
97;443;2018;Pilar;1.Soja
98;0;2018;Pinamar;1.Soja
99;0;2018;Presidente Perón;1.Soja
100;2279;2018;Puán;1.Soja
101;0;2018;Punta Indio;1.Soja
102;0;2018;Quilmes;1.Soja
103;50212;2018;Ramallo;1.Soja
104;4472;2018;Rauch;1.Soja
105;119427;2018;Rivadavia;1.Soja
106;88860;2018;Rojas;1.Soja
107;23585;2018;Roque Pérez;1.Soja
108;17715;2018;Saavedra;1.Soja
109;30752;2018;Saladillo;1.Soja
110;18540;2018;Salliqueló;1.Soja
111;76108;2018;Salto;1.Soja
112;39011;2018;San Andrés de Giles;1.Soja
113;38312;2018;San Antonio de Areco;1.Soja
114;51185;2018;San Cayetano;1.Soja
115;0;2018;San Fernando;1.Soja
116;0;2018;San Isidro;1.Soja
117;0;2018;San Miguel;1.Soja
118;30616;2018;San Nicolás;1.Soja
119;49246;2018;San Pedro;1.Soja
120;335;2018;San Vicente;1.Soja
121;19043;2018;Suipacha;1.Soja
122;90160;2018;Tandil;1.Soja
123;7590;2018;Tapalqué;1.Soja
124;0;2018;Tigre;1.Soja
125;0;2018;Tordillo;1.Soja
126;1808;2018;Tornquist;1.Soja
127;103981;2018;Trenque Lauquen;1.Soja
128;128100;2018;Tres Arroyos;1.Soja
129;0;2018;Tres de Febrero;1.Soja
130;25533;2018;Tres Lomas;1.Soja
131;104746;2018;25 de mayo;1.Soja
132;0;2018;Vicente López;1.Soja
133;0;2018;Villa Gesell;1.Soja
134;0;2018;Villarino;1.Soja
135;15132;2018;Zárate;1.Soja
136;2573963;2002;Provincia de Buenos Aires;1.Soja
137;12462;2002;Adolfo Alsina;1.Soja
138;10074;2002;Adolfo Gonzales Chaves;1.Soja
139;47502;2002;Alberti;1.Soja
140;0;2002;Almirante Brown;1.Soja
141;48987;2002;Arrecifes;1.Soja
142;0;2002;Avellaneda;1.Soja
143;1314;2002;Ayacucho;1.Soja
144;69937;2002;Azul;1.Soja
145;70;2002;Bahía Blanca;1.Soja
146;16471;2002;Balcarce;1.Soja
147;32932;2002;Baradero;1.Soja
148;11908;2002;Benito Juárez;1.Soja
149;0;2002;Berazategui;1.Soja
150;0;2002;Berisso;1.Soja
151;15324;2002;Bolívar;1.Soja
152;71521;2002;Bragado;1.Soja
153;40;2002;Brandsen;1.Soja
154;5634;2002;Campana;1.Soja
155;3221;2002;Cañuelas;1.Soja
156;15705;2002;Capitán Sarmiento;1.Soja
157;24302;2002;Carlos Casares;1.Soja
158;22671;2002;Carlos Tejedor;1.Soja
159;27953;2002;Carmen de Areco;1.Soja
160;2116;2002;Castelli;1.Soja
161;78413;2002;Chacabuco;1.Soja
162;6499;2002;Chascomús;1.Soja
163;86281;2002;Chivilcoy;1.Soja
164;41920;2002;Colón;1.Soja
165;0;2002;Coronel de Marina Leonardo Rosales;1.Soja
166;4540;2002;Coronel Dorrego;1.Soja
167;7870;2002;Coronel Pringles;1.Soja
168;49553;2002;Coronel Suárez;1.Soja
169;32135;2002;Daireaux;1.Soja
170;60;2002;Dolores;1.Soja
171;0;2002;Ensenada;1.Soja
172;85;2002;Escobar;1.Soja
173;0;2002;Esteban Echeverría;1.Soja
174;17388;2002;Exaltación de la Cruz;1.Soja
175;0;2002;Ezeiza;1.Soja
176;90;2002;Florencio Varela;1.Soja
177;19364;2002;Florentino Ameghino;1.Soja
178;3572;2002;General Alvarado;1.Soja
179;3937;2002;General Alvear;1.Soja
180;71959;2002;General Arenales;1.Soja
181;6191;2002;General Belgrano;1.Soja
182;0;2002;General Guido;1.Soja
183;1380;2002;General Juan Madariaga;1.Soja
184;12931;2002;General La Madrid;1.Soja
185;1039;2002;General Las Heras;1.Soja
186;60;2002;General Lavalle;1.Soja
187;934;2002;General Paz;1.Soja
188;56943;2002;General Pinto;1.Soja
189;3427;2002;General Pueyrredón;1.Soja
190;1196;2002;General Rodríguez;1.Soja
191;0;2002;General San Martín;1.Soja
192;46205;2002;General Viamonte;1.Soja
193;134520;2002;General Villegas;1.Soja
194;27980;2002;Guaminí;1.Soja
195;16302;2002;Hipólito Yrigoyen;1.Soja
196;0;2002;Hurlingham;1.Soja
197;0;2002;Ituzaingó;1.Soja
198;0;2002;José C, Paz;1.Soja
199;66892;2002;Junín;1.Soja
200;0;2002;La Costa;1.Soja
201;209;2002;La Matanza;1.Soja
202;0;2002;Lanús;1.Soja
