;HA de EAPs;Año del censo;Partido;Tamaño EAPs
0;4150112.0;2018;Provincia de Buenos Aires;Pequeñas (<=500 ha)
1;78471.0;2018;Adolfo Alsina;Pequeñas (<=500 ha)
2;33207.0;2018;Adolfo Gonzales Chaves;Pequeñas (<=500 ha)
3;25967.0;2018;Alberti;Pequeñas (<=500 ha)
4;401.0;2018;Almirante Brown;Pequeñas (<=500 ha)
5;29438.0;2018;Arrecifes;Pequeñas (<=500 ha)
6;11.0;2018;Avellaneda;Pequeñas (<=500 ha)
7;89623.0;2018;Ayacucho;Pequeñas (<=500 ha)
8;83268.0;2018;Azul;Pequeñas (<=500 ha)
9;31164.0;2018;Bahía Blanca;Pequeñas (<=500 ha)
10;51607.0;2018;Balcarce;Pequeñas (<=500 ha)
11;19098.0;2018;Baradero;Pequeñas (<=500 ha)
12;55096.0;2018;Benito Juárez;Pequeñas (<=500 ha)
13;797.0;2018;Berazategui;Pequeñas (<=500 ha)
14;1316.0;2018;Berisso;Pequeñas (<=500 ha)
15;115953.0;2018;Bolívar;Pequeñas (<=500 ha)
16;35574.0;2018;Bragado;Pequeñas (<=500 ha)
17;26318.0;2018;Brandsen;Pequeñas (<=500 ha)
18;11630.0;2018;Campana;Pequeñas (<=500 ha)
19;27735.0;2018;Cañuelas;Pequeñas (<=500 ha)
20;16420.0;2018;Capitán Sarmiento;Pequeñas (<=500 ha)
21;33754.0;2018;Carlos Casares;Pequeñas (<=500 ha)
22;54678.0;2018;Carlos Tejedor;Pequeñas (<=500 ha)
23;12723.0;2018;Carmen de Areco;Pequeñas (<=500 ha)
24;13456.0;2018;Castelli;Pequeñas (<=500 ha)
25;51801.0;2018;Chacabuco;Pequeñas (<=500 ha)
26;65828.0;2018;Chascomús;Pequeñas (<=500 ha)
27;48154.0;2018;Chivilcoy;Pequeñas (<=500 ha)
28;30429.0;2018;Colón;Pequeñas (<=500 ha)
29;12106.0;2018;Coronel de Marina Leonardo Rosales;Pequeñas (<=500 ha)
30;43545.0;2018;Coronel Dorrego;Pequeñas (<=500 ha)
31;66795.0;2018;Coronel Pringles;Pequeñas (<=500 ha)
32;90811.0;2018;Coronel Suárez;Pequeñas (<=500 ha)
33;47531.0;2018;Daireaux;Pequeñas (<=500 ha)
34;26031.0;2018;Dolores;Pequeñas (<=500 ha)
35;119.0;2018;Ensenada;Pequeñas (<=500 ha)
36;1982.0;2018;Escobar;Pequeñas (<=500 ha)
37;131.0;2018;Esteban Echeverría;Pequeñas (<=500 ha)
38;13104.0;2018;Exaltación de la Cruz;Pequeñas (<=500 ha)
39;11.0;2018;Ezeiza;Pequeñas (<=500 ha)
40;1397.0;2018;Florencio Varela;Pequeñas (<=500 ha)
41;12527.0;2018;Florentino Ameghino;Pequeñas (<=500 ha)
42;11890.0;2018;General Alvarado;Pequeñas (<=500 ha)
43;34920.0;2018;General Alvear;Pequeñas (<=500 ha)
44;35162.0;2018;General Arenales;Pequeñas (<=500 ha)
45;17653.0;2018;General Belgrano;Pequeñas (<=500 ha)
46;49306.0;2018;General Guido;Pequeñas (<=500 ha)
47;31669.0;2018;General Juan Madariaga;Pequeñas (<=500 ha)
48;41613.0;2018;General La Madrid;Pequeñas (<=500 ha)
49;31610.0;2018;General Las Heras;Pequeñas (<=500 ha)
