;Cantidad de EAPs;Año del censo;Partido;Tipo jurídico
0;9072;2018;Provincia de Buenos Aires;Empresas
1;105;2018;Adolfo Alsina;Empresas
2;77;2018;Adolfo Gonzales Chaves;Empresas
3;56;2018;Alberti;Empresas
4;0;2018;Almirante Brown;Empresas
5;86;2018;Arrecifes;Empresas
6;0;2018;Avellaneda;Empresas
7;200;2018;Ayacucho;Empresas
8;186;2018;Azul;Empresas
9;54;2018;Bahía Blanca;Empresas
10;179;2018;Balcarce;Empresas
11;71;2018;Baradero;Empresas
12;152;2018;Benito Juárez;Empresas
13;4;2018;Berazategui;Empresas
14;0;2018;Berisso;Empresas
15;142;2018;Bolívar;Empresas
16;102;2018;Bragado;Empresas
17;39;2018;Brandsen;Empresas
18;30;2018;Campana;Empresas
19;56;2018;Cañuelas;Empresas
20;50;2018;Capitán Sarmiento;Empresas
21;62;2018;Carlos Casares;Empresas
22;95;2018;Carlos Tejedor;Empresas
23;50;2018;Carmen de Areco;Empresas
24;50;2018;Castelli;Empresas
25;131;2018;Chacabuco;Empresas
26;131;2018;Chascomús;Empresas
27;91;2018;Chivilcoy;Empresas
28;72;2018;Colón;Empresas
29;22;2018;Coronel de Marina Leonardo Rosales;Empresas
30;106;2018;Coronel Dorrego;Empresas
31;116;2018;Coronel Pringles;Empresas
32;168;2018;Coronel Suárez;Empresas
33;156;2018;Daireaux;Empresas
34;33;2018;Dolores;Empresas
35;0;2018;Ensenada;Empresas
36;0;2018;Escobar;Empresas
37;0;2018;Esteban Echeverría;Empresas
38;46;2018;Exaltación de la Cruz;Empresas
39;4;2018;Ezeiza;Empresas
40;3;2018;Florencio Varela;Empresas
41;51;2018;Florentino Ameghino;Empresas
42;55;2018;General Alvarado;Empresas
43;102;2018;General Alvear;Empresas
44;74;2018;General Arenales;Empresas
45;54;2018;General Belgrano;Empresas
46;59;2018;General Guido;Empresas
47;67;2018;General Juan Madariaga;Empresas
48;92;2018;General La Madrid;Empresas
49;52;2018;General Las Heras;Empresas
50;47;2018;General Lavalle;Empresas
51;64;2018;General Paz;Empresas
52;81;2018;General Pinto;Empresas
53;89;2018;General Pueyrredón;Empresas
54;11;2018;General Rodríguez;Empresas
55;0;2018;General San Martín;Empresas
56;76;2018;General Viamonte;Empresas
57;180;2018;General Villegas;Empresas
58;144;2018;Guaminí;Empresas
59;45;2018;Hipólito Yrigoyen;Empresas
60;0;2018;Hurlingham;Empresas
61;0;2018;Ituzaingó;Empresas
62;0;2018;José C, Paz;Empresas
63;109;2018;Junín;Empresas
64;0;2018;La Costa;Empresas
65;0;2018;La Matanza;Empresas
66;0;2018;Lanús;Empresas
67;69;2018;La Plata;Empresas
68;88;2018;Laprida;Empresas
69;95;2018;Las Flores;Empresas
70;50;2018;Leandro N, Alem;Empresas
71;54;2018;Lezama;Empresas
72;197;2018;Lincoln;Empresas
73;161;2018;Lobería;Empresas
74;100;2018;Lobos;Empresas
75;0;2018;Lomas de Zamora;Empresas
76;58;2018;Luján;Empresas
77;70;2018;Magdalena;Empresas
78;57;2018;Maipú;Empresas
79;0;2018;Malvinas Argentinas;Empresas
80;114;2018;Mar Chiquita;Empresas
81;22;2018;Marcos Paz;Empresas
82;58;2018;Mercedes;Empresas
83;6;2018;Merlo;Empresas
84;55;2018;Monte;Empresas
85;0;2018;Monte Hermoso;Empresas
86;3;2018;Moreno;Empresas
87;0;2018;Morón;Empresas
88;78;2018;Navarro;Empresas
89;102;2018;Necochea;Empresas
90;208;2018;9 de julio;Empresas
91;184;2018;Olavarría;Empresas
92;90;2018;Patagones;Empresas
93;128;2018;Pehuajó;Empresas
94;50;2018;Pellegrini;Empresas
95;184;2018;Pergamino;Empresas
96;54;2018;Pila;Empresas
97;17;2018;Pilar;Empresas
98;0;2018;Pinamar;Empresas
99;0;2018;Presidente Perón;Empresas
100;101;2018;Puán;Empresas
101;35;2018;Punta Indio;Empresas
102;0;2018;Quilmes;Empresas
103;45;2018;Ramallo;Empresas
104;139;2018;Rauch;Empresas
105;112;2018;Rivadavia;Empresas
106;83;2018;Rojas;Empresas
107;46;2018;Roque Pérez;Empresas
108;80;2018;Saavedra;Empresas
109;82;2018;Saladillo;Empresas
110;24;2018;Salliqueló;Empresas
111;95;2018;Salto;Empresas
112;52;2018;San Andrés de Giles;Empresas
113;53;2018;San Antonio de Areco;Empresas
114;61;2018;San Cayetano;Empresas
115;4;2018;San Fernando;Empresas
116;0;2018;San Isidro;Empresas
117;0;2018;San Miguel;Empresas
118;31;2018;San Nicolás;Empresas
119;113;2018;San Pedro;Empresas
120;31;2018;San Vicente;Empresas
121;46;2018;Suipacha;Empresas
122;173;2018;Tandil;Empresas
123;83;2018;Tapalqué;Empresas
124;3;2018;Tigre;Empresas
125;16;2018;Tordillo;Empresas
126;95;2018;Tornquist;Empresas
127;140;2018;Trenque Lauquen;Empresas
128;171;2018;Tres Arroyos;Empresas
129;0;2018;Tres de Febrero;Empresas
130;26;2018;Tres Lomas;Empresas
131;205;2018;25 de mayo;Empresas
132;0;2018;Vicente López;Empresas
133;0;2018;Villa Gesell;Empresas
134;127;2018;Villarino;Empresas
135;16;2018;Zárate;Empresas
136;14461;2002;Provincia de Buenos Aires;Empresas
137;182;2002;Adolfo Alsina;Empresas
138;119;2002;Adolfo Gonzales Chaves;Empresas
139;81;2002;Alberti;Empresas
140;20;2002;Almirante Brown;Empresas
141;76;2002;Arrecifes;Empresas
142;5;2002;Avellaneda;Empresas
143;260;2002;Ayacucho;Empresas
144;278;2002;Azul;Empresas
145;59;2002;Bahía Blanca;Empresas
146;234;2002;Balcarce;Empresas
147;85;2002;Baradero;Empresas
148;161;2002;Benito Juárez;Empresas
149;9;2002;Berazategui;Empresas
150;9;2002;Berisso;Empresas
151;300;2002;Bolívar;Empresas
152;156;2002;Bragado;Empresas
153;88;2002;Brandsen;Empresas
154;35;2002;Campana;Empresas
155;62;2002;Cañuelas;Empresas
156;41;2002;Capitán Sarmiento;Empresas
157;209;2002;Carlos Casares;Empresas
158;212;2002;Carlos Tejedor;Empresas
159;78;2002;Carmen de Areco;Empresas
160;48;2002;Castelli;Empresas
161;244;2002;Chacabuco;Empresas
162;235;2002;Chascomús;Empresas
163;208;2002;Chivilcoy;Empresas
164;132;2002;Colón;Empresas
165;36;2002;Coronel de Marina Leonardo Rosales;Empresas
166;166;2002;Coronel Dorrego;Empresas
167;183;2002;Coronel Pringles;Empresas
168;234;2002;Coronel Suárez;Empresas
169;160;2002;Daireaux;Empresas
170;44;2002;Dolores;Empresas
