;Superficie promedio;Año del censo;Partido
0;642;2018;Provincia de Buenos Aires
1;896;2018;Adolfo Alsina
2;1168;2018;Adolfo Gonzales Chaves
3;415;2018;Alberti
4;19;2018;Almirante Brown
5;423;2018;Arrecifes
6;0;2018;Avellaneda
7;741;2018;Ayacucho
8;746;2018;Azul
9;736;2018;Bahía Blanca
10;675;2018;Balcarce
11;478;2018;Baradero
12;882;2018;Benito Juárez
13;3;2018;Berazategui
14;86;2018;Berisso
15;426;2018;Bolívar
16;527;2018;Bragado
17;362;2018;Brandsen
18;317;2018;Campana
19;396;2018;Cañuelas
20;253;2018;Capitán Sarmiento
21;619;2018;Carlos Casares
22;552;2018;Carlos Tejedor
23;684;2018;Carmen de Areco
24;1420;2018;Castelli
25;360;2018;Chacabuco
26;513;2018;Chascomús
27;307;2018;Chivilcoy
28;281;2018;Colón
29;750;2018;Coronel de Marina Leonardo Rosales
30;1428;2018;Coronel Dorrego
31;908;2018;Coronel Pringles
32;727;2018;Coronel Suárez
33;843;2018;Daireaux
34;880;2018;Dolores
35;107;2018;Ensenada
36;110;2018;Escobar
37;19;2018;Esteban Echeverría
38;326;2018;Exaltación de la Cruz
39;1020;2018;Ezeiza
40;3;2018;Florencio Varela
41;1169;2018;Florentino Ameghino
42;1041;2018;General Alvarado
43;975;2018;General Alvear
44;323;2018;General Arenales
45;875;2018;General Belgrano
46;697;2018;General Guido
47;1022;2018;General Juan Madariaga
48;1140;2018;General La Madrid
49;249;2018;General Las Heras
50;1035;2018;General Lavalle
51;254;2018;General Paz
52;931;2018;General Pinto
53;232;2018;General Pueyrredón
54;173;2018;General Rodríguez
55;0;2018;General San Martín
56;568;2018;General Viamonte
57;930;2018;General Villegas
58;783;2018;Guaminí
59;706;2018;Hipólito Yrigoyen
60;0;2018;Hurlingham
61;0;2018;Ituzaingó
62;1;2018;José C, Paz
63;310;2018;Junín
64;401;2018;La Costa
65;324;2018;La Matanza
66;0;2018;Lanús
67;19;2018;La Plata
68;992;2018;Laprida
69;636;2018;Las Flores
70;653;2018;Leandro N, Alem
71;320;2018;Lezama
72;787;2018;Lincoln
73;823;2018;Lobería
74;325;2018;Lobos
75;0;2018;Lomas de Zamora
76;269;2018;Luján
77;412;2018;Magdalena
78;910;2018;Maipú
79;1;2018;Malvinas Argentinas
80;783;2018;Mar Chiquita
81;155;2018;Marcos Paz
82;334;2018;Mercedes
83;42;2018;Merlo
84;676;2018;Monte
85;0;2018;Monte Hermoso
86;21;2018;Moreno
87;0;2018;Morón
88;439;2018;Navarro
89;955;2018;Necochea
90;475;2018;9 de julio
91;1029;2018;Olavarría
92;1555;2018;Patagones
93;908;2018;Pehuajó
94;778;2018;Pellegrini
95;337;2018;Pergamino
96;1149;2018;Pila
97;27;2018;Pilar
98;0;2018;Pinamar
99;49;2018;Presidente Perón
100;785;2018;Puán
101;696;2018;Punta Indio
102;0;2018;Quilmes
103;364;2018;Ramallo
104;586;2018;Rauch
105;1066;2018;Rivadavia
106;427;2018;Rojas
107;464;2018;Roque Pérez
108;641;2018;Saavedra
109;303;2018;Saladillo
110;521;2018;Salliqueló
111;335;2018;Salto
112;357;2018;San Andrés de Giles
113;581;2018;San Antonio de Areco
114;887;2018;San Cayetano
115;380;2018;San Fernando
116;0;2018;San Isidro
117;0;2018;San Miguel
118;250;2018;San Nicolás
119;250;2018;San Pedro
120;191;2018;San Vicente
121;810;2018;Suipacha
122;672;2018;Tandil
123;1220;2018;Tapalqué
124;46;2018;Tigre
125;1058;2018;Tordillo
126;914;2018;Tornquist
127;1265;2018;Trenque Lauquen
128;866;2018;Tres Arroyos
129;0;2018;Tres de Febrero
130;674;2018;Tres Lomas
131;632;2018;25 de mayo
132;0;2018;Vicente López
133;0;2018;Villa Gesell
134;1344;2018;Villarino
135;1144;2018;Zárate
136;505;2002;Provincia de Buenos Aires
137;559;2002;Adolfo Alsina
138;875;2002;Adolfo Gonzales Chaves
139;409;2002;Alberti
140;10;2002;Almirante Brown
141;434;2002;Arrecifes
142;5;2002;Avellaneda
143;626;2002;Ayacucho
144;772;2002;Azul
145;807;2002;Bahía Blanca
146;595;2002;Balcarce
147;331;2002;Baradero
148;825;2002;Benito Juárez
149;29;2002;Berazategui
150;68;2002;Berisso
151;298;2002;Bolívar
152;321;2002;Bragado
153;308;2002;Brandsen
154;362;2002;Campana
155;285;2002;Cañuelas
156;255;2002;Capitán Sarmiento
157;334;2002;Carlos Casares
