Año del censo;Provincia;Código del partido;Partido;EAPS pequeñas (<= 500ha);EAPS grandes (>500 ha);Total EAPS;Total de HA;Superficie promedio;HA ocupadas por EAPS pequeñas;HA ocupadas por EAPS grandes;EAPS en manos de Empresas;EAPS en manos de Personas Humanas;Superficie en manos de Empresas;Superficie en mano de Personas Humanas;Cantidad de Mujeres propietarias de EAPs;Cantidad de Hombres propietarios de EAPs;Mujeres Residentes (Personas Humanas);Mujeres Residente (Empresas);Mujeres Residentes del campo;Varones Residentes (Personas Humanas);Varones Residentes (Empresas);Varones Residentes del campo;Cantidad de hectáreas implantadas de Cereales;Cantidad de hectáreas implantadas de Oleaginosas;Cantidad de hectáreas implantadas de Forrajeras;Maiz para grano por hectárea;Trigo pan por hectárea;Soja por hectárea;Forrajeras anuales por hectáreas;Forrajeras perennes por hectáreas;Cantidad de hectareas dedicadas a Bosques y montes naturales;Proporcion de ha para bosques naturales e implantados respecto al total;Empleo;Prácticas orgánicasbiodinámicas/agroecológicas
2018;Provincia de Buenos Aires;6;Provincia de Buenos Aires;25563;11181;36744;23599666;642;4150112;19449554;9072;25433;11657123;9554807;5280;19671;19372;12163;31535;33226;23641;56867;3880253;4510442;2665266;"1558296,6";"1486062,7";3899005;"1604875,4";1060391;"603344,5";"2,56%";53782;550
2018;Provincia de Buenos Aires;7;Adolfo Alsina;346;208;554;496603;896;78471;418132;105;423;252875;207420;70;349;214;129;343;441;318;759;117979;54835;99032;"27003,5";"68174,3";"31022,5";74792;"24239,5";980;"0,20%";597;4
2018;Provincia de Buenos Aires;14;Adolfo Gonzales Chaves;136;150;286;334167;1168;33207;245268;77;204;160513;136574;54;148;72;68;140;183;161;344;77474;64575;29796;8901;38500;"60965,2";18797;10999;284;"0,08%";421;3
2018;Provincia de Buenos Aires;21;Alberti;181;26;207;85819;415;25967;34003;56;134;51718;25118;25;107;27;34;61;65;56;121;36735;34435;3618;"18916,1";15511;34435;1604;2014;165;"0,19%";215;0
2018;Provincia de Buenos Aires;28;Almirante Brown;44;0;44;845;19;401;0;0;43;400;436;10;33;78;0;78;144;0;144;400;28;4;0;0;28;4;0;0;0;92;7
2018;Provincia de Buenos Aires;77;Arrecifes;183;50;233;98490;423;29438;58104;86;136;55643;32403;19;114;242;72;314;256;233;489;37001;65303;3697;"17231,3";"14656,5";"64863,6";1144;"2552,5";"52,5";"0,05%";449;6
2018;Provincia de Buenos Aires;35;Avellaneda;0;0;0;38;0;11;0;0;3;0;24;2;1;8;0;8;7;0;7;0;0;0;0;0;0;0;0;0;0;11;0
2018;Provincia de Buenos Aires;42;Ayacucho;454;281;735;544429;741;89623;425468;200;494;310325;193466;151;336;289;293;582;414;524;938;19693;29790;59992;"14301,5";"2647,9";"15055,6";"33941,8";26050;"65,2";"0,01%";1076;7
2018;Provincia de Buenos Aires;49;Azul;411;257;668;498390;746;83268;398571;186;422;246110;186907;103;312;224;281;505;396;554;950;64505;78888;61365;"23248,5";23208;"67878,2";"30663,7";"30700,8";229;"0,05%";959;3
2018;Provincia de Buenos Aires;56;Bahía Blanca;165;100;265;194946;736;31164;146104;54;204;65206;106779;31;172;175;51;226;297;95;392;19378;30;34874;669;13313;30;"30677,5";4196;"3568,5";"1,83%";371;0
2018;Provincia de Buenos Aires;63;Balcarce;264;155;419;282926;675;51607;224897;179;222;186139;80701;45;174;130;187;317;280;408;688;60553;71987;46035;"25241,1";"22102,2";"45014,3";"15696,6";"30338,4";"1086,2";"0,38%";782;0
2018;Provincia de Buenos Aires;70;Baradero;138;56;194;92695;478;19098;57706;71;114;62589;26189;17;96;190;113;303;204;148;352;26901;45425;4180;"13000,6";"12977,7";"43484,2";"1387,5";2792;"377,9";"0,41%";251;0
2018;Provincia de Buenos Aires;84;Benito Juárez;267;237;504;444646;882;55096;372102;152;329;227541;187002;76;249;169;178;347;356;354;710;55257;59039;38565;"10067,5";"21317,9";"48095,9";"23685,3";"14879,9";1665;"0,37%";672;11
2018;Provincia de Buenos Aires;91;Berazategui;279;0;279;797;3;797;0;4;281;27;760;63;208;386;0;386;520;0;520;40;60;0;40;0;60;0;0;5;"0,63%";128;0
2018;Provincia de Buenos Aires;98;Berisso;44;0;44;3784;86;1316;0;0;46;2542;1236;7;35;24;0;24;36;0;36;0;0;1;0;0;0;"1,2";0;"42,8";"1,13%";9;8
2018;Provincia de Buenos Aires;105;Bolívar;693;178;871;371279;426;115953;255327;142;675;152210;182035;147;517;265;160;425;538;251;789;45848;74508;38404;"31680,8";"4963,2";"62163,7";"21681,2";"16723,1";"6528,5";"1,76%";676;6
2018;Provincia de Buenos Aires;112;Bragado;212;78;290;152857;527;35574;93355;102;176;88111;56537;34;137;90;86;176;138;127;265;45228;59096;8237;"26452,9";15104;"59096,3";"2695,5";"5541,7";"324,1";"0,21%";349;3
2018;Provincia de Buenos Aires;119;Brandsen;148;36;184;66522;362;26318;40204;39;133;29734;28867;32;98;147;130;277;214;173;387;120;190;5282;30;90;190;3443;1839;118;"0,18%";775;0
2018;Provincia de Buenos Aires;126;Campana;124;16;140;44313;317;11630;28563;30;107;27881;14917;19;87;187;102;289;257;160;417;3182;3533;792;1322;"1859,8";"3532,8";153;"638,5";"77,3";"0,17%";165;5
2018;Provincia de Buenos Aires;134;Cañuelas;157;37;194;76777;396;27735;35524;56;122;30543;32570;28;92;160;135;295;198;174;372;3042;3857;6971;2207;"830,5";3857;"3621,9";"3348,6";208;"0,27%";407;0
