Column1;Año del censo;Partido;Cultivo;Total
0;2018;Buenos Aires;Cereales;3880253,4
1;2018;Adolfo Alsina;Cereales;117978,9
2;2018;Adolfo Gonzales Chaves;Cereales;77474
3;2018;Alberti;Cereales;36735,1
4;2018;Almirante Brown;Cereales;400
5;2018;Arrecifes;Cereales;37000,8
6;2018;Avellaneda;Cereales;0
7;2018;Ayacucho;Cereales;19693,4
8;2018;Azul;Cereales;64504,5
9;2018;Bahía Blanca;Cereales;19377,9
10;2018;Balcarce;Cereales;60552,6
11;2018;Baradero;Cereales;26901
12;2018;Benito Juárez;Cereales;55256,6
13;2018;Berazategui;Cereales;40,3
14;2018;Berisso;Cereales;0
15;2018;Bolívar;Cereales;45848
16;2018;Bragado;Cereales;45227,6
17;2018;Brandsen;Cereales;120
18;2018;Campana;Cereales;3181,8
19;2018;Cañuelas;Cereales;3041,5
20;2018;Capitán Sarmiento;Cereales;14337,5
21;2018;Carlos Casares;Cereales;31733,7
22;2018;Carlos Tejedor;Cereales;38287
23;2018;Carmen de Areco;Cereales;12579,2
24;2018;Castelli;Cereales;3889,5
25;2018;Chacabuco;Cereales;43436,1
26;2018;Chascomús;Cereales;13060
27;2018;Chivilcoy;Cereales;38484,7
28;2018;Colón;Cereales;22436,7
29;2018;Coronel de Marina Leonardo Rosales;Cereales;26970
30;2018;Coronel Dorrego;Cereales;227055,2
31;2018;Coronel Pringles;Cereales;77626,7
32;2018;Coronel Suárez;Cereales;141403,3
33;2018;Daireaux;Cereales;44477,6
34;2018;Dolores;Cereales;500
35;2018;Ensenada;Cereales;0
36;2018;Escobar;Cereales;0
37;2018;Esteban Echeverría;Cereales;3
38;2018;Exaltación de la Cruz;Cereales;13138,4
39;2018;Ezeiza;Cereales;60
40;2018;Florencio Varela;Cereales;176
41;2018;Florentino Ameghino;Cereales;27018,5
42;2018;General Alvarado;Cereales;37853,4
43;2018;General Alvear;Cereales;14481
44;2018;General Arenales;Cereales;29539,1
45;2018;General Belgrano;Cereales;13689,6
46;2018;General Guido;Cereales;3852
47;2018;General Juan Madariaga;Cereales;11889,6
48;2018;General La Madrid;Cereales;51825,2
49;2018;General Las Heras;Cereales;2010,5
50;2018;General Lavalle;Cereales;627
51;2018;General Paz;Cereales;2301
52;2018;General Pinto;Cereales;38047,5
53;2018;General Pueyrredón;Cereales;20213,8
54;2018;General Rodríguez;Cereales;1685
55;2018;General San Martín;Cereales;
56;2018;General Viamonte;Cereales;28692,4
57;2018;General Villegas;Cereales;97797,7
58;2018;Guaminí;Cereales;66420
59;2018;Hipólito Yrigoyen;Cereales;32395
60;2018;Hurlingham;Cereales;0
61;2018;Ituzaingó;Cereales;0
62;2018;José C, Paz;Cereales;0
63;2018;Junín;Cereales;38701,1
64;2018;La Costa;Cereales;40
65;2018;La Matanza;Cereales;386
66;2018;Lanús;Cereales;
67;2018;La Plata;Cereales;535
68;2018;Laprida;Cereales;14547,3
69;2018;Las Flores;Cereales;11376,9
70;2018;Leandro N, Alem;Cereales;28833,7
71;2018;Lezama;Cereales;6212,5
72;2018;Lincoln;Cereales;76768,5
73;2018;Lobería;Cereales;117424,6
74;2018;Lobos;Cereales;24723,5
75;2018;Lomas de Zamora;Cereales;0
76;2018;Luján;Cereales;9224,4
77;2018;Magdalena;Cereales;2755
78;2018;Maipú;Cereales;6007
79;2018;Malvinas Argentinas;Cereales;0
80;2018;Mar Chiquita;Cereales;15437,9
81;2018;Marcos Paz;Cereales;3973,9
82;2018;Mercedes;Cereales;10350,1
83;2018;Merlo;Cereales;542,5
84;2018;Monte;Cereales;20054,2
