;Empleo;Año del censo;Partido
0;53782;2018;Provincia de Buenos Aires
1;597;2018;Adolfo Alsina
2;421;2018;Adolfo Gonzales Chaves
3;215;2018;Alberti
4;92;2018;Almirante Brown
5;449;2018;Arrecifes
6;11;2018;Avellaneda
7;1076;2018;Ayacucho
8;959;2018;Azul
9;371;2018;Bahía Blanca
10;782;2018;Balcarce
11;251;2018;Baradero
12;672;2018;Benito Juárez
13;128;2018;Berazategui
14;9;2018;Berisso
15;676;2018;Bolívar
16;349;2018;Bragado
17;775;2018;Brandsen
18;165;2018;Campana
19;407;2018;Cañuelas
20;275;2018;Capitán Sarmiento
21;710;2018;Carlos Casares
22;491;2018;Carlos Tejedor
23;384;2018;Carmen de Areco
24;274;2018;Castelli
25;369;2018;Chacabuco
26;541;2018;Chascomús
27;317;2018;Chivilcoy
28;139;2018;Colón
29;165;2018;Coronel de Marina Leonardo Rosales
30;425;2018;Coronel Dorrego
31;534;2018;Coronel Pringles
32;856;2018;Coronel Suárez
33;660;2018;Daireaux
34;169;2018;Dolores
35;11;2018;Ensenada
36;37;2018;Escobar
37;18;2018;Esteban Echeverría
38;360;2018;Exaltación de la Cruz
39;14;2018;Ezeiza
40;282;2018;Florencio Varela
41;348;2018;Florentino Ameghino
42;288;2018;General Alvarado
43;401;2018;General Alvear
44;126;2018;General Arenales
45;253;2018;General Belgrano
46;335;2018;General Guido
47;307;2018;General Juan Madariaga
48;599;2018;General La Madrid
49;351;2018;General Las Heras
50;233;2018;General Lavalle
51;303;2018;General Paz
52;466;2018;General Pinto
53;902;2018;General Pueyrredón
54;178;2018;General Rodríguez
55;0;2018;General San Martín
56;357;2018;General Viamonte
57;1033;2018;General Villegas
58;862;2018;Guaminí
59;238;2018;Hipólito Yrigoyen
60;4;2018;Hurlingham
61;2;2018;Ituzaingó
62;3;2018;José C, Paz
63;480;2018;Junín
64;5;2018;La Costa
65;31;2018;La Matanza
66;0;2018;Lanús
67;3387;2018;La Plata
68;423;2018;Laprida
69;362;2018;Las Flores
70;281;2018;Leandro N, Alem
71;177;2018;Lezama
72;1220;2018;Lincoln
73;775;2018;Lobería
74;618;2018;Lobos
75;16;2018;Lomas de Zamora
76;205;2018;Luján
77;366;2018;Magdalena
78;439;2018;Maipú
79;23;2018;Malvinas Argentinas
80;715;2018;Mar Chiquita
81;238;2018;Marcos Paz
82;358;2018;Mercedes
83;122;2018;Merlo
84;164;2018;Monte
85;16;2018;Monte Hermoso
86;155;2018;Moreno
87;0;2018;Morón
88;564;2018;Navarro
89;705;2018;Necochea
90;951;2018;9 de julio
91;858;2018;Olavarría
92;535;2018;Patagones
93;858;2018;Pehuajó
94;372;2018;Pellegrini
95;854;2018;Pergamino
96;541;2018;Pila
97;243;2018;Pilar
98;0;2018;Pinamar
99;12;2018;Presidente Perón
100;518;2018;Puán
101;225;2018;Punta Indio
102;4;2018;Quilmes
103;242;2018;Ramallo
104;645;2018;Rauch
105;733;2018;Rivadavia
106;513;2018;Rojas
107;491;2018;Roque Pérez
108;507;2018;Saavedra
109;429;2018;Saladillo
110;179;2018;Salliqueló
111;358;2018;Salto
112;185;2018;San Andrés de Giles
113;409;2018;San Antonio de Areco
114;349;2018;San Cayetano
115;6;2018;San Fernando
116;0;2018;San Isidro
117;0;2018;San Miguel
118;59;2018;San Nicolás
119;902;2018;San Pedro
120;114;2018;San Vicente
121;291;2018;Suipacha
122;1201;2018;Tandil
