partido;localidad;codigo_postal_manual;nombre establecimiento;sede/axo/ext;ubicacion_manual;cue;nueva_existente;nombre establecimiento a considerar;siglas;tipo de gesti�n;programa escuelas sustentables;direccion_manual;cargo;nombre;apellido;telefono_manual;mail_manual;matricula_2021;latitud_manual;longitud_manual;observaciones;;
Mar Chiquita;General Piran;7172;JARDIN DE INFANTES RURAL Nº1;SEDE;Rural Agrupado;621322;Existente;JARDIN DE INFANTES RURAL Nº1;JIRIMM 1;Pública;Escuela en Tránsito;EP Nº 15 Sección Quintas;Director;Mariana;Walsh;(0223)155407164;jardinrural1marchiquita@abc.gob.ar;18;-37.2702262703;-57.756070656;E5;En la frontera de lo rural y lo urbano.;7172 - 621322 - SEDE
Mar Chiquita;General Piran;7172;"ESCUELA DE EDUCACIÓN PRIMARIA Nº15 ""JUAN BAUTISTA ALBERDI""";SEDE;Rural Agrupado;602187;Existente;"ESCUELA DE EDUCACIÓN PRIMARIA Nº15 ""JUAN BAUTISTA ALBERDI""";EP 15;Pública;Escuela en Tránsito;Sección Quintas. M. Viglietti s/ nº ;Director;Sandra;Muñoz;(02265)15418734;primaria15marchiquita@abc.gob.ar;36;-37.2702262703;-57.756070656;E5;En la frontera de lo rural y lo urbano.;7172 - 602187 - SEDE
Mar Chiquita;General Piran;7172;COLEGIO DON BOSCO;SEDE;Urbano;607985;Existente;COLEGIO DON BOSCO;;Privada;No;Av. Don Bosco s/ nº;;;;(0223) 438-0836;colegiodonboscogeneralpiran@gmail.com;;-37.2746330000;-57.772953000;;;7172 - 607985 - SEDE
Mar Chiquita;General Piran;7172;ESCUELA PRIMARIA DE ADULTOS Nº 703;SEDE;Urbano;CI15;Nueva;ESCUELA PRIMARIA DE ADULTOS Nº 703;EEPA 703;Pública;Escuela en Tránsito;Belgrano 351;Director;Sonia;Molina;(0223)154385889;epa701marchiquita@abc.gob.ar;15;-37.2751156704;-57.775178028;E14;;7172 - CI15 - SEDE
Mar Chiquita;General Piran;7172;ESCUELA DE EDUCACIÓN SECUNDARIA Nº3;SEDE;Urbano;607982;Existente;ESCUELA DE EDUCACIÓN SECUNDARIA Nº3;ES 3;Pública;Escuela en Tránsito;Belgrano 351;Director;Maura;Goñi;(0223)155271158;secundaria3marchiquita@abc.gob.ar;162;-37.2751156704;-57.775178028;E14;;7172 - 607982 - SEDE
Mar Chiquita;General Piran;7172;"JARDIN DE INFANTES Nº902 ""MARIA DEL CARMEN MAZZA""";SEDE;Urbano;607990;Existente;"JARDIN DE INFANTES Nº902 ""MARIA DEL CARMEN MAZZA""";JI 902;Pública;No;Sarmiento nº 352;Director;Jorgelina;Lichardi;(02265)15426360;jardin902marchiquita@abc.gob.ar;160;-37.2753430000;-57.773230000;;;7172 - 607990 - SEDE
Mar Chiquita;General Piran;7172;"ESCUELA DE EDUCACIÓN PRIMARIA Nº5 ""GENERAL JOSE DE SAN MARTIN""";SEDE;Urbano;607984;Existente;"ESCUELA DE EDUCACIÓN PRIMARIA Nº5 ""GENERAL JOSE DE SAN MARTIN""";EP 5;Pública;No;Sarmiento nº 324;Director;Graciela Josefina;Turzo;(02268)15638601;primaria5marchiquita@abc.gob.ar;275;-37.2755570000;-57.773221000;;;7172 - 607984 - SEDE
Mar Chiquita;General Piran;7172;ESCUELA ESPECIAL Nº502;SEDE;Urbano;607991;Existente;ESCUELA ESPECIAL Nº502;EE 502;Pública;Escuela en Tránsito;San Martin nº 168;Director;Viviana;Lichardi;(0223)154396161;especial502marchiquita@abc.gob.ar;11;-37.2756800000;-57.775211000;;;7172 - 607991 - SEDE
Mar Chiquita;General Piran;7172;Centro Educativo de Nivel Secundario para Adultos N° 452 (Sede Piran);SEDE;Urbano;CI20;Nueva;Centro Educativo de Nivel Secundario para Adultos N° 452 (Sede Piran);CENS 452B;Pública;No;Domingo Faustino Sarmiento 324, General Piran;Director;Eugenia;Palozzo;(0223)156030814;cens452marchiquita@abc.gob.ar;54;-37.2757223737;-57.773403009;;;7172 - CI20 - SEDE
Mar Chiquita;General Piran;7172;"ESCUELA DE EDUCACIÓN PRIMARIA Nº4 ""MARIANO MORENO""";SEDE;Rural Disperso;607993;Existente;"ESCUELA DE EDUCACIÓN PRIMARIA Nº4 ""MARIANO MORENO""";EP 4;Pública;Escuela en Tránsito;Pje. El Jaguel;Director;Maricel;Etcheverría;(2265)15426137;primaria4marchiquita@abc.gob.ar;1;-37.3130903429;-57.639461024;;;7172 - 607993 - SEDE
Mar Chiquita;General Piran;7172;JARDIN DE INFANTES RURAL Nº8;SEDE;Rural Disperso;CI23;Nueva;JARDIN DE INFANTES RURAL Nº8;JIRIMM 8;Pública;No;Pje. Loma Verde;MI a/c;Marina;Moor;(0223)155173692;mmoor@abc.gob.ar;;-37.3133803870;-57.921230423;E6;;7172 - CI23 - SEDE
Mar Chiquita;General Piran;7172;"ESCUELA DE EDUCACIÓN PRIMARIA Nº25 ""SALVADOR MARCAIDA""";SEDE;Rural Disperso;602188;Existente;"ESCUELA DE EDUCACIÓN PRIMARIA Nº25 ""SALVADOR MARCAIDA""";EP 25;Pública;Escuela en Tránsito;Pje. Loma Verde;Director;Cintia;Laxalde;(02268)15635763;primaria25marchiquita@abc.gob.ar;3;-37.3133803870;-57.921230423;E6;;7172 - 602188 - SEDE
Mar Chiquita;Coronel Vidal;7174;Centro de Alfabetización Ecologica Quinta Esencia;EXTENSIÓN;Rural Disperso;CI22;Nueva;Centro de Alfabetización Ecologica Quinta Esencia;;Privada;;;Director;Christian;Tiscornia;54 9 3416 41-1659;hola@quintaesencia.org.ar;;-37.4090050150;-57.582569205;;;7174 - CI22 - EXTENSIÓN
Mar Chiquita;Coronel Vidal;7174;"ESCUELA DE EDUCACIÓN PRIMARIA Nº3 ""MANUEL BELGRANO""";SEDE;Rural Disperso;605271;Existente;"ESCUELA DE EDUCACIÓN PRIMARIA Nº3 ""MANUEL BELGRANO""";EP 3;Pública;Escuela en Tránsito;Pje. La Aldea;Director;Mariangel;Mendiola;(0223)154553803;primaria3marchiquita@abc.gob.ar;10;-37.4201076407;-57.775592616;E7;;7174 - 605271 - SEDE
Mar Chiquita;Mar Chiquita;7109;JARDIN DE INFANTES RURAL Nº5;SEDE;Rural Disperso;621140;Existente;JARDIN DE INFANTES RURAL Nº5;JIRIMM 5;Pública;Escuela en Tránsito;EP Nº 3 Pje. La Aldea;Director;Elsa;Gaitán;(0223)155904280;Jardinrural5marchiquita@abc.gob.ar;9;-37.4201076407;-57.775592616;E7;;7109 - 621140 - SEDE
Mar Chiquita;Coronel Vidal;7174;"ESCUELA DE EDUCACIÓN PRIMARIA Nº6 ""FRAY MAMERTO ESQUIU""";SEDE;Rural Disperso;605272;Existente;"ESCUELA DE EDUCACIÓN PRIMARIA Nº6 ""FRAY MAMERTO ESQUIU""";EP 6;Pública;Escuela en Tránsito;Pje. San Esteban. Esquina de Arguas;Director;Vanesa;Carli;(0223)155765804;primaria6marchiquita@abc.gob.ar;3;-37.4306870384;-57.589595529;E8;;7174 - 605272 - SEDE
Mar Chiquita;Coronel Vidal;7174;JARDIN DE INFANTES RURAL Nº3;SEDE;Rural Disperso;620178;Existente;JARDIN DE INFANTES RURAL Nº3;JIRIMM 3;Pública;Escuela en Tránsito;EP Nº 6 Pje. Esq. de Arguas;MI a/c;Patricia;Lezcano;(0223)155299285;jardinrural3marchiquita@abc.gob.ar;2;-37.4306870384;-57.589595529;E8;;7174 - 620178 - SEDE
Mar Chiquita;Coronel Vidal;7174;JARDIN DE INFANTES RURAL Nº4;SEDE;Rural Agrupado;620733;Existente;JARDIN DE INFANTES RURAL Nº4;JIRIMM 4;Pública;Escuela en Tránsito;EP Nº 14 B. Atamiski;MI a/c;Adriana;Barrionuevo;(02265)15418738;jardinrural4marchiquita@abc.gob.ar;13;-37.4399712283;-57.709409394;E9*;En la frontera de lo rural y lo urbano.;7174 - 620733 - SEDE
Mar Chiquita;Coronel Vidal;7174;"ESCUELA DE EDUCACIÓN PRIMARIA Nº14 ""HIPOLITO YRIGOYEN""";SEDE;Rural Agrupado;605278;Existente;"ESCUELA DE EDUCACIÓN PRIMARIA Nº14 ""HIPOLITO YRIGOYEN""";EP 14;Pública;Escuela en Tránsito;Barrio Atamiski;Director;Karina C.;Romiglio;(02268)15632242;primaria14marchiquita@abc.gob.ar;36;-37.4399712283;-57.709409394;E9*;En la frontera de lo rural y lo urbano.;7174 - 605278 - SEDE
Mar Chiquita;Coronel Vidal;7174;CENTRO DE FORMACIÓN LABORAL Nº 401;SEDE;Urbano;CI7;Nueva;CENTRO DE FORMACIÓN LABORAL Nº 401;CFL 401;Pública;Escuela en Tránsito;Sarmiento nº 429;Director;Arturo;López;(0223)155054308;cfl401marchiquita@abc.gob.ar;311;-37.4438036356;-57.724151463;E15;;7174 - CI7 - SEDE
Mar Chiquita;Coronel Vidal;7174;ESCUELA PRIMARIA DE ADULTOS Nº 702;SEDE;Urbano;CI14;Nueva;ESCUELA PRIMARIA DE ADULTOS Nº 702;EEPA 702;Pública;Escuela en Tránsito;Sarmiento 429;Director;Sonia;Molina;(0223)154385889;epa701marchiquita@abc.gob.ar;16;-37.4438036356;-57.724151463;E15;;7174 - CI14 - SEDE
Mar Chiquita;Coronel Vidal;7174;"JARDIN DE INFANTES Nº901 ""LUISA Y. COLALILLO DE D'AMELIO""";SEDE;Urbano;607987;Existente;"JARDIN DE INFANTES Nº901 ""LUISA Y. COLALILLO DE D'AMELIO""";JI 901;Pública;Escuela en Tránsito;San Martin nº 663;Director;Leticia;Rios;(0223)156022809;jardin901marchiquita@abc.gob.ar;154;-37.4446880000;-57.730422000;;;7174 - 607987 - SEDE
Mar Chiquita;Coronel Vidal;7174;CENTRO EDUCACIÓN FÍSICA;SEDE;Urbano;CI10;Nueva;CENTRO EDUCACIÓN FÍSICA;CEF;Pública;No;V. Vergara 450;Director;Alejandra;Manzo;(0223)154262555;cef122marchiquita@abc.gob.ar;507;-37.4452248937;-57.723179847;;;7174 - CI10 - SEDE
Mar Chiquita;Coronel Vidal;7174;CENTRO EDUCATIVO COMPLEMENTARIO Nº 1;SEDE;Urbano;CI12;Nueva;CENTRO EDUCATIVO COMPLEMENTARIO Nº 1;CEC 1;Pública;Escuela en Tránsito;San Martin nº 541;Director;Andrea;Lora;(0223)155443815;cec1marchiquita@abc.gob.ar;90;-37.4454982179;-57.730195898;;;7174 - CI12 - SEDE
Mar Chiquita;Coronel Vidal;7174;INSTITUTO SUPERIOR DE FORMACIÓN DOCENTE Nº 63;SEDE;Urbano;CI11;Nueva;INSTITUTO SUPERIOR DE FORMACIÓN DOCENTE Nº 63;ISFDyT;Pública;No;Beltrami nº 185;Director;Sebastián;Sanabria;(02265)15419157;isfd63marchiquita@abc.gob.ar;331;-37.4456774289;-57.727506102;;;7174 - CI11 - SEDE
Mar Chiquita;Coronel Vidal;7174;ESCUELA PRIMARIA DE ADULTOS Nº 701;SEDE;Urbano;CI13;Nueva;ESCUELA PRIMARIA DE ADULTOS Nº 701;EEPA 701;Pública;Escuela en Tránsito;Gral. Paz 491;Director;Sonia;Molina;(0223)154385888;epa701marchiquita@abc.gob.ar;64;-37.4459645085;-57.728614008;E16;;7174 - CI13 - SEDE
Mar Chiquita;Coronel Vidal;7174;CENTRO DE INVESTIGACIÓN EDUCATIVA PARA DOCENTES;SEDE;Urbano;CI1;Nueva;CENTRO DE INVESTIGACIÓN EDUCATIVA PARA DOCENTES;CIIE;Pública;No;Gral. Paz 469;Director;Marcela;César;(0223)155193361;ciie068@abc.gob.ar;;-37.4461292643;-57.728553819;;;7174 - CI1 - SEDE
Mar Chiquita;Coronel Vidal;7174;CENTRO DE FORMACIÓN LABORAL Nº 402;SEDE;Urbano;CI9;Nueva;CENTRO DE FORMACIÓN LABORAL Nº 402;CFL 402;Pública;Escuela en Tránsito;Belgrano 914;Director;Walter;Wischnivetzky;(02265)15418289;cfl402marchiquita@abc.gob.ar;71;-37.4461460860;-57.731716205;;;7174 - CI9 - SEDE
Mar Chiquita;Coronel Vidal;7174;"ESCUELA DE EDUCACIÓN PRIMARIA Nº1 ""SARMIENTO""";SEDE;Urbano;607983;Existente;"ESCUELA DE EDUCACIÓN PRIMARIA Nº1 ""SARMIENTO""";EP 1;Pública;No;Gral. Paz 491;Director;Patricia Lujan;Gelmini;(0223)155231421;primaria1marchiquita@abc.gob.ar;277;-37.4459645085;-57.728614008;E16;;7174 - 607983 - SEDE
Mar Chiquita;Coronel Vidal;7174;ESCUELA DE EDUCACIÓN SECUNDARIA TÉCNICA Nº1 ;SEDE;Urbano;CI24;Nueva;ESCUELA DE EDUCACIÓN SECUNDARIA TÉCNICA Nº1 ;EST 1;Pública;No participa;Belgrano nº 914;Director;Pablo;Rozas;(0223)155505276;tecnica1marchiquita@abc.gob.ar;151;-37.4466270000;-57.731483000;;;7174 - CI24 - SEDE
Mar Chiquita;Coronel Vidal;7174;COLEGIO SAN MIGUEL;SEDE;Urbano;611763;Existente;COLEGIO SAN MIGUEL;;Privada;Escuela en Tránsito;Mitre 143;Director;"Adriana (Licencia)
Martin Didomenico (Suplente hasta octubre aprox)";Guzman;"(0223)155928126
(0223)154465369";;;-37.4476680000;-57.727200000;;"Dirección: Guzman, Adriana (Licencia)
Martin Didomenico (Suplente hasta octubre aprox)";7174 - 611763 - SEDE
