LOCALIDAD;FECHA;ORDENANZA;LINK;Crea un organismo municipal de certificacion agroecologica;Crea un registro de productores agroecologicos;Posee promocion de cursos, talleres y capacitaciones;Asesoramiento y ayuda;Bonificaciónes las tasas municipales de red vial/ exenciones impositivas.;Ser priorizado en la compra estatal local.;Que el Municipio promueva y difunda en medios oficiales sus producciones;Que se favorezcan sus procesos de organización y participación en ferias y mercados locales.;Facilitar , promover , articular , tramitar acciones, dialigo , certificaciones con la provincia y /o la nacion r..;Una participación prioritaria en eventos y exposiciones dentro del territorio Municipal- de carácter institucional, cultural, etc;Acceso a tierra / facilidades para terrenos;Facilitar acceso a creditos;Comprende producción ganadera;EL MUNICIPIO FORMA PARTE DE LA RENAMA;Puntaje - agroeco NORMALIZADO
Adolfo Alsina;;;;;;;;;;;;;;;;;;0
Adolfo Gonzales Chaves;;;;;;;;;;;;;;;;;;0
Alberti;;;;;;;;;;;;;;;;;;0
Almirante Brown;;;;;;;;;;;;;;;;;;0
Arrecifes;4/12/2017;N°2882/17;https://drive.google.com/file/d/10AOtwGa-QJNEG_dtz9chnJ2TFm6wb7tu/view?usp=sharing;SI;NO;NO;NO;SI (100%);SI;SI;SI;SI;SI;NO;NO;NO;;0.4
Avellaneda;;;;;;;;;;;;;;;;;;0
Ayacucho;;;;;;;;;;;;;;;;;;0
Azul;;;;;;;;;;;;;;;;;;0
Bahía Blanca;;;;;;;;;;;;;;;;;;0
Balcarce;;;;;;;;;;;;;;;;;;0
Baradero;;;;;;;;;;;;;;;;;;0
Benito Juárez;;;;;;;;;;;;;;;;;;0
Berazategui;;;;;;;;;;;;;;;;;;0
Berisso;;;;;;;;;;;;;;;;;;0
Bolívar;;;;;;;;;;;;;;;;;;0
Bragado;;;;;;;;;;;;;;;;;;0
Brandsen;;;;;;;;;;;;;;;;;;0
Campana;;;;;;;;;;;;;;;;;;0
Cañuelas;;;;;;;;;;;;;;;;;;0
Capitán Sarmiento;;;;;;;;;;;;;;;;;;0
Carlos Casares;;;;;;;;;;;;;;;;;;0
Carlos Tejedor;;;;;;;;;;;;;;;;;;0
Carmen de Areco;;;;;;;;;;;;;;;;;;0
Castelli;;;;;;;;;;;;;;;;;;0
Chacabuco;;;;;;;;;;;;;;;;;;0
Chascomús;;;;;;;;;;;;;;;;;;0
Chivilcoy;;;;;;;;;;;;;;;;;;0
Colón;;;;;;;;;;;;;;;;;;0
Coronel de Marina Leonardo Rosales;;;;;;;;;;;;;;;;;;0
Coronel Dorrego;;;;;;;;;;;;;;;;;;0
Coronel Pringles;;;;;;;;;;;;;;;;;SI;0.3333333333
Coronel Suárez;;;;;;;;;;;;;;;;;SI;0.3333333333
Daireaux;;;;;;;;;;;;;;;;;;0
Dolores;;;;;;;;;;;;;;;;;;0
Ensenada;;;;;;;;;;;;;;;;;;0
Escobar;;;;;;;;;;;;;;;;;;0
Esteban Echeverría;;;;;;;;;;;;;;;;;;0
Exaltación de la Cruz;/12/2020;N°2719-20;https://drive.google.com/file/d/1pXymQ9JR-uS_TlWPkHybpbDNJCl2xlgX/view;SI;SI;SI;SI;SI;SI;SI;SI;SI;NO;NO;SI;NO;SI;1
Ezeiza;;;;;;;;;;;;;;;;;;0
Florencio Varela;;;;;;;;;;;;;;;;;;0
Florentino Ameghino;;;;;;;;;;;;;;;;;;0
General Alvarado;;;;;;;;;;;;;;;;;SI;0.3333333333
General Alvear;;;;;;;;;;;;;;;;;;0
General Arenales;;;;;;;;;;;;;;;;;;0
General Belgrano;;;;;;;;;;;;;;;;;;0
General Guido;;;;;;;;;;;;;;;;;;0
General Juan Madariaga;;;;;;;;;;;;;;;;;;0
General la Madrid;;;;;;;;;;;;;;;;;;0
General las Heras;;;;;;;;;;;;;;;;;;0
General Lavalle;;;;;;;;;;;;;;;;;;0
General Paz;;;;;;;;;;;;;;;;;;0
General Pinto;;;;;;;;;;;;;;;;;;0
General Pueyrredon;23/5/2013;N°21296;https://drive.google.com/file/d/19WIps6TnHecnA5yiN0xeo-7jDNthxB39/view;SI;SI;SI;SI;NO;NO;NO;SI;NO;NO;NO;NO;NO;;0.3333333333
General San Martín;;;;;;;;;;;;;;;;;;0
General Viamonte;;;;;;;;;;;;;;;;;;0
General Villegas;;;;;;;;;;;;;;;;;;0
Guaminí;30/9/2015;N°32/15;https://drive.google.com/file/d/1vKD1LYoyRiC3MdDyxksC-kbTJkfjZXAB/view?usp=sharing;SI;NO;NO;NO;NO;NO;NO;SI;NO;NO;SI;NO;SI;SI;0.6
Hipólito Yrigoyen;;;;;;;;;;;;;;;;;;0
Hurlingham;;;;;;;;;;;;;;;;;;0
Ituzaingó;;;;;;;;;;;;;;;;;;0
José C. Paz;;;;;;;;;;;;;;;;;;0
Junín;;;;;;;;;;;;;;;;;;0
La Costa;;;;;;;;;;;;;;;;;;0
La Matanza;;;;;;;;;;;;;;;;;;0
La Plata;;;;;;;;;;;;;;;;;;0
Lanús;;;;;;;;;;;;;;;;;;0
Laprida;;;;;;;;;;;;;;;;;;0
Las Flores;;;;;;;;;;;;;;;;;;0
Leandro N. Alem;;;;;;;;;;;;;;;;;;0
Lezama;;;;;;;;;;;;;;;;;;0
Lincoln;;;;;;;;;;;;;;;;;;0
Lobería;;;;;;;;;;;;;;;;;;0
Lobos;;;;;;;;;;;;;;;;;;0
Lomas de Zamora;;;;;;;;;;;;;;;;;;0
Luján;2017;S/N;https://drive.google.com/file/d/1AS64fGMEWejWYbZ8miLYNEynNm72fePZ/view?usp=sharing;SI;SI;NO;SI;Si (no es taxativo);SI;SI;SI;SI;NO;NO;SI;SI;SI;0.9333333333
Magdalena;;;;;;;;;;;;;;;;;;0
Maipú;;;;;;;;;;;;;;;;;;0
Malvinas Argentinas;;;;;;;;;;;;;;;;;;0
Mar Chiquita;;;;;;;;;;;;;;;;;;0
Marcos Paz;19/12/2018;N°80/18;https://drive.google.com/file/d/1hox_I5wPfSDfeSFhCN9aMt6zAQImlZ49/view?usp=sharing;NO;NO;SI;NO;NO;SI;SI;SI;NO;NO;NO;NO;SI;;0.3333333333
Mercedes;22/9/2019;N°8241/19;https://drive.google.com/file/d/1K-AZcRKCSk-55mAKisvBA4X7Wjcj8E25/view?usp=sharing;SI;SI;NO;SI;SI(hasta 80%);SI;SI;SI;NO;NO;NO;SI;SI;;0.5333333333
Merlo;;;;;;;;;;;;;;;;;;0
Monte;;;;;;;;;;;;;;;;;;0
Monte Hermoso;;;;;;;;;;;;;;;;;;0
Moreno;;;;;;;;;;;;;;;;;;0
Morón;;;;;;;;;;;;;;;;;;0
Navarro;;;;;;;;;;;;;;;;;;0
Necochea;;;;;;;;;;;;;;;;;;0
Nueve de Julio;11/4/2019;N°6087/19;https://drive.google.com/file/d/18IxYI-t8VFr4gw9tViKGFk5EaiWTZKXz/view;SI;SI;NO;SI;NO;NO;NO;NO;NO;NO;NO;NO;NO;;0.2
Olavarría;;;;;;;;;;;;;;;;;SI;0.3333333333
Patagones;;;;;;;;;;;;;;;;;;0
Pehuajó;;;;;;;;;;;;;;;;;;0
Pellegrini;;;;;;;;;;;;;;;;;;0
Pergamino;30/10/2019;N°9166/19;https://drive.google.com/file/d/1NU6RxFk4v994bNd0o6b61zS4T7WzYlXa/view?usp=sharing;SI;NO;NO;NO;SI;SI;SI;SI;SI;SI;NO;NO;NO;;0.4666666667
Pila;;;;;;;;;;;;;;;;;;0
Pilar;;;;;;;;;;;;;;;;;;0
Pinamar;;;;;;;;;;;;;;;;;;0
Presidente Perón;;;;;;;;;;;;;;;;;;0
Puán;;;;;;;;;;;;;;;;;;0
Punta Indio;;;;;;;;;;;;;;;;;;0
Quilmes;;;;;;;;;;;;;;;;;;0
Ramallo;15/12/2016;N°5531/16;https://drive.google.com/file/d/1LMJ3HrDp3LLyMvMy4AnM221vy4vIdls7/view;NO;NO;SI;NO;SI (por 5 años);SI;SI;SI;NO;NO;NO;SI;NO;;0.3333333333
Rauch;;;;;;;;;;;;;;;;;;0
Rivadavia;;;;;;;;;;;;;;;;;;0
Rojas;;;;;;;;;;;;;;;;;;0
Roque Pérez;;;;;;;;;;;;;;;;;SI;0.3333333333
Saavedra;;;;;;;;;;;;;;;;;SI;0.3333333333
Saladillo;23/10/2918;N°135/18;https://drive.google.com/file/d/1WRSnVIvldU7hvoGuyOvGUM6xdV6ANaZQ/view;SI (*);SI;SI;SI;SI* (hay exensión impositiva dependiente de las hectareas cultivadas);NO;NO;SI;NO;NO;NO;SI;SI;;0.4
Salliqueló;13/11/2019;N° /19;https://drive.google.com/file/d/1wWwnF6krPF9qJiWoiyAy6rihoTt6cuZh/view?usp=sharing;NO;NO;SI;SI;NO;SI;NO;NO;NO;NO;NO;NO;NO;SI;0.5333333333
Salto;;;;;;;;;;;;;;;;;;0
San Andrés de Giles;;;;;;;;;;;;;;;;;;0
San Antonio de Areco;;;;;;;;;;;;;;;;;;0
San Cayetano;;;;;;;;;;;;;;;;;;0
San Fernando;;;;;;;;;;;;;;;;;;0
San Isidro;;;;;;;;;;;;;;;;;;0
San Miguel;;;;;;;;;;;;;;;;;;0
San Nicolás;;;;;;;;;;;;;;;;;;0
San Pedro;;;;;;;;;;;;;;;;;;0
San Vicente;;;;;;;;;;;;;;;;;;0
Suipacha;;;;;;;;;;;;;;;;;;0
Tandil;;;;;;;;;;;;;;;;;;0
Tapalqué;;;;;;;;;;;;;;;;;;0
Tigre;;;;;;;;;;;;;;;;;;0
Tordillo;;;;;;;;;;;;;;;;;;0
Tornquist;;;;;;;;;;;;;;;;;;0
Trenque Lauquen;;;;;;;;;;;;;;;;;;0
Tres Arroyos;;;;;;;;;;;;;;;;;;0
Tres de Febrero;;;;;;;;;;;;;;;;;;0
Tres Lomas;;;;;;;;;;;;;;;;;SI;0.3333333333
Veinticindo de Mayo.;;;;;;;;;;;;;;;;;;0
Vicente López;;;;;;;;;;;;;;;;;;0
Villa Gesell;;;;;;;;;;;;;;;;;;0
Villarino;21/11/2019;3242/18;https://drive.google.com/file/d/1EmH9ZJ0J0LR5SnAnLkNy2aAq6X_tKGSk/view;SI;SI;NO;SI;NO;NO;SI;NO;NO;NO;NO;NO;NO;;0.2666666667
Zárate;;;;;;;;;;;;;;;;;;0
