Municipios,Ordenanza,Fecha,Link - Repositorio,"Notificación
SI/NO",Exclusión,Amortiguamiento,Puntaje
Adolfo Alsina,N°3840/14,2014,https://drive.google.com/file/d/1QuSp121upZrg2pBEMH5vzQDNmY4nCfw6/view?usp=share_link,NO,0,0,"0,005"
Adolfo Gonzáles Chaves,N°1156/86,,https://drive.google.com/file/d/1H4AVG1e5hcGtgUVgwSG7vYc2N0ggA8Td/view?usp=share_link,NO,0,0,"0,005"
Alberti,N°1690/08,2008,https://drive.google.com/file/d/1ouZLi8LIMKvUVvLbKbc7sgAaegKve24P/view?usp=share_link,NO,0,0,"0,005"
Almirante Brown,N°9140,,https://drive.google.com/file/d/1v7EaIErw3XOXmEmD6SzF3ogyP90bMNRq/view?usp=share_link,NO,0,0,"0,005"
Arrecifes,N°2786,,https://drive.google.com/file/d/1CKJ63qOImswZOrUqOY0H0VChWgGYU9It/view?usp=share_link,SI,0,0,"0,032"
Avellaneda,,,,,,,0
Ayacucho,N°5528/20,2020,https://drive.google.com/file/d/1ThVJiyasHCSLVADL-yThH16A5b82WOBD/view?usp=share_link,SI,0,0,"0,032"
Azul,N°4564/21,2021,https://drive.google.com/file/d/1jKlFG_F9y4GTSzYp8dlz0KUKBZcUewxP/view,SI,0,0,"0,032"
Bahía Blanca,N°5441/89,1989,https://drive.google.com/file/d/1nJACsUzI4BmEuLcxkkpnITSUamS5nnN9/view?usp=share_link,NO,0,0,"0,005"
Balcarce,N°158/18,2018,https://drive.google.com/file/d/15UdXYTYmbQR6DfccsJ3yE3HL9HdlSmRL/view?usp=share_link,NO,0,0,"0,005"
Baradero,N°7099/22,2022,,,0,0,"0,032"
Benito Juárez,N°5542/20,2020,https://drive.google.com/file/d/1szUQMt2EW7e8FaLoG7yspjcxnVmpiWNk/view?usp=share_link,SI,0,3000,1
Berazategui,,,,,,,0
Berisso,,,,,,,0
Bolívar,N°2459/2017,2017,https://drive.google.com/file/d/1MOR6mlbttxXkDOeWlFYOnizKzX8M2fEf/view?usp=share_link,NO,0,0,"0,005"
Bragado,N°3706,2009,https://drive.google.com/file/d/1MsWaxB3oieSAwJs9oKGkpQ4qNfdOLcw7/view?usp=share_link,NO,0,0,"0,005"
Brandsen,,,,,,,0
Campana,N°5792/11,2011,https://drive.google.com/file/d/1e6DHMOXh5nbZEVY1mrq5GqNqBbTLRqaS/view?usp=share_link,SI,0,0,"0,032"
Cañuelas,N°2671/10,2010,https://drive.google.com/file/d/1bG3pTPpAaI-Pm1hS4FADK7qC1TvSDq6p/view?usp=share_link,NO,0,0,"0,005"
Capitán Sarmiento,N°1672/09,2009,https://drive.google.com/file/d/1OODwBr8fT7q4uKY9z-N0PWJoRFPQNVbN/view?usp=share_link,SI,0,3000,1
Carlos Casares,,,,,,,0
Carlos Tejedor,N°2350/14,2014,https://drive.google.com/file/d/1pLWRx0k7zIbs9UP8JIiDRAQufsQKDxC3/view?usp=share_link,NO,0,0,"0,005"
Carmen de Areco,N°2960,2018,https://drive.google.com/file/d/1tXc0XCHhcSWReURxRyfxGilkNpZgR1KD/view?usp=share_link,NO,0,0,"0,005"
Castelli,N°41/20,2020,https://drive.google.com/file/d/14LxBf8mDwfonSBNPPNfnAK92JyS1GLBN/view,NO,0,0,"0,005"
Chacabuco,N°7077/17,2017,https://drive.google.com/file/d/17PON1a8YaZyTZsn1W2jS_H6NBPhkmzgd/view,SI,0,0,"0,032"
Chascomús,N°5329/18,2018,https://drive.google.com/file/d/1SYzMhUHmQQIoIpyuTWHTSIbIZ8IkJ4rI/view,NO,0,0,"0,005"
Chivilcoy,,,,,,,0
Colón,N°1713/96,1996,https://drive.google.com/file/d/1OuFHovH96A8_nvWR_DkkHu1PHr5_IC6m/view,SI,0,0,"0,032"
Coronel Dorrego,N°3147/11,2011,https://drive.google.com/file/d/11MkZOdHE2qsGUGb7uDK4QC3lg731uhsS/view,NO,0,0,"0,005"
Coronel Pringles,N°4081 y N°4240,2013 - 2016,https://drive.google.com/file/d/13ywZytgxpclgnPwKvVbEcd0otniKuqNC/view --y-- https://drive.google.com/file/d/1l3jYUBWtyhgN8rCYfsvH0MRqpY6ahhZQ/view,NO,0,0,"0,005"
Coronel Rosales,,,,,,,0
Coronel Suárez,N°7404/20,2020,https://drive.google.com/file/d/13s_4BtIqYVp3xT5FiV2PWCDR_aYpKFxo/view,NO,0,0,"0,005"
Daireaux,N°2383/20,2020,https://drive.google.com/file/d/1tJeh0EBQbi7Tam5SNfkQyDpp6g68kTBg/view,SI,0,0,"0,032"
Dolores,,,,,,,0
Ensenada,,,,,,,0
Escobar,,,,,,,0
Esteban Echeverría,,,,,,,0
Exaltación de la Cruz,N°2557/19,2019,https://drive.google.com/file/d/1AW4DeuFK74kXUfswNZcDdZ4RFqKRyqCV/view,NO,0,0,"0,005"
Ezeiza,N°3167/13,2013,,,,,"0,005"
Florencio Varela,,,,,,,0
Florentino Ameghino,N°736,,https://drive.google.com/file/d/1qsh8jSLDiDJ3ZNThZbMMH2edQcSH7jjY/view,NO,0,0,"0,005"
General Alvarado,N°217/09,2009,https://drive.google.com/file/d/14qUgyRVPtmtKG8sRou5G8XQPBbgbBeI4/view,NO,0,0,"0,005"
