Municipio1,Municipio2
Adolfo Alsina,Adolfo Alsina
Adolfo G. Chaves,Adolfo Gonzales Chaves
Alberti,Alberti
Alt. Brown,Almirante Brown
Arrecifes,Arrecifes
Avellaneda,Avellaneda
Ayacucho,Ayacucho
Azul,Azul
Bahía Blanca,Bahía Blanca
Balcarce,Balcarce
Baradero,Baradero
Benito Juárez,Benito Juárez
Berazategui,Berazategui
Berisso,Berisso
Bolívar,Bolívar
Bragado,Bragado
Brandsen,Brandsen
Campana,Campana
Cañuelas,Cañuelas
Cap. Sarmiento,Capitán Sarmiento
Carlos Casares,Carlos Casares
Carlos Tejedor,Carlos Tejedor
Carmen de Areco,Carmen de Areco
Castelli,Castelli
Chacabuco,Chacabuco
Chascomús,Chascomús
Chivilcoy,Chivilcoy
Colón,Colón
Cnel. Dorrego,Coronel Dorrego
Cnel. Pringles,Coronel Pringles
Cnel. Rosales,Coronel Rosales
Cnel. Suárez,Coronel Suárez
Daireaux,Daireaux
Dolores,Dolores
Ensenada,Ensenada
Escobar,Escobar
Esteban Echeverría,Esteban Echeverría
Exaltación de la Cruz,Exaltación de la Cruz
Ezeiza,Ezeiza
Florencio Varela,Florencio Varela
Florentino Ameghino,Florentino Ameghino
Gral. Alvarado,General Alvarado
Gral. Alvear,General Alvear
Gral. Arenales,General Arenales
Gral. Belgrano,General Belgrano
Gral. Guido,General Guido
Gral. La Madrid,General La Madrid
Gral. Las Heras,General Las Heras
Gral. Lavalle,General Lavalle
Gral. Madariaga,General Madariaga
Gral. Paz,General Paz
Gral. Pinto,General Pinto
Gral. Pueyrredón,General Pueyrredón
Gral. Rodríguez,General Rodríguez
Gral. San Martín,General San Martín
Gral. Viamonte,General Viamonte
Gral. Villegas,General Villegas
Guaminí,Guaminí
Hipólito Yrigoyen,Hipólito Yrigoyen
Hurlingham,Hurlingham
Ituzaingó,Ituzaingó
José C. Paz,José C. Paz
Junín,Junín
La Costa,La Costa
La Matanza,La Matanza
La Plata,La Plata
Lanús,Lanús
Laprida,Laprida
Las Flores,Las Flores
Leandro N. Alem,Leandro N. Alem
Lezama,Lezama
Lincoln,Lincoln
Lobería,Lobería
Lobos,Lobos
Lomas de Zamora,Lomas de Zamora
Luján,Luján
Magdalena,Magdalena
Maipú,Maipú
Malvinas Argentinas,Malvinas Argentinas
Mar Chiquita,Mar Chiquita
Marcos Paz,Marcos Paz
Mercedes,Mercedes
Merlo,Merlo
Monte,Monte
Monte Hermoso,Monte Hermoso
Moreno,Moreno
Morón,Morón
Navarro,Navarro
Necochea,Necochea
Nueve de Julio,Nueve de Julio
Olavarría,Olavarría
Patagones,Patagones
Pehuajó,Pehuajó
Pellegrini,Pellegrini
Pergamino,Pergamino
Pila,Pila
Pilar,Pilar
Pinamar,Pinamar
Presidente Perón,Presidente Perón
Puán,Puan
Punta Indio,Punta Indio
Quilmes,Quilmes
Ramallo,Ramallo
Rauch,Rauch
Rivadavia,Rivadavia
Rojas,Rojas
Roque Pérez,Roque Pérez
Saavedra - Pigüé,Saavedra
Saladillo,Saladillo
Salliqueló,Salliqueló
Salto,Salto
San Andrés de Giles,San Andrés de Giles
San Antonio de Areco,San Antonio de Areco
San Cayetano,San Cayetano
San Fernando,San Fernando
San Isidro,San Isidro
San Miguel,San Miguel
San Nicolás,San Nicolás
San Pedro,San Pedro
San Vicente,San Vicente
Suipacha,Suipacha
Tandil,Tandil
Tapalqué,Tapalqué
Tigre,Tigre
Tordillo,Tordillo
Tornquist,Tornquist
Trenque Lauquen,Trenque Lauquen
Tres Arroyos,Tres Arroyos
Tres de Febrero,Tres de Febrero
Tres Lomas,Tres Lomas
Veinticinco de Mayo,Veinticinco de Mayo
Vicente López,Vicente López
Villa Gesell,Villa Gesell
Villarino,Villarino
Zárate,Zárate
