Municipios;Ordenanza;Link;Exclusión (en mtrs.);Amortiguamiento  (en mtrs.);Exclusión aérea  (en mtrs.);Amortiguamiento aérea  (en mtrs.);Obligatoriedad de notificación;Puntaje - Escuelas rurales
Adolfo Alsina;N°3840/14;https://drive.google.com/file/d/1QuSp121upZrg2pBEMH5vzQDNmY4nCfw6/view?usp=share_link;100;100;100;100;SI;600
Adolfo Gonzáles Chaves;N°1156/86;https://drive.google.com/file/d/1H4AVG1e5hcGtgUVgwSG7vYc2N0ggA8Td/view?usp=share_link;0;0;0;0;NO;0
Alberti;N°1690/08;https://drive.google.com/file/d/1ouZLi8LIMKvUVvLbKbc7sgAaegKve24P/view?usp=share_link;0;0;0;0;NO;0
Almirante Brown;N°9140;https://drive.google.com/file/d/1v7EaIErw3XOXmEmD6SzF3ogyP90bMNRq/view?usp=share_link;0;0;0;0;NO;0
Arrecifes;N°2786;https://drive.google.com/file/d/1CKJ63qOImswZOrUqOY0H0VChWgGYU9It/view?usp=share_link;100;300;0;0;SI;500
Avellaneda;Sin ordenanzas;;;;;;;
Ayacucho;N°5528/20;https://drive.google.com/file/d/1ThVJiyasHCSLVADL-yThH16A5b82WOBD/view?usp=share_link;100;400;500;400;NO;1000
Azul;N°4564/21;https://drive.google.com/file/d/1jKlFG_F9y4GTSzYp8dlz0KUKBZcUewxP/view;1;200;0;0;NO;101
Bahía Blanca;N°5441/89;https://drive.google.com/file/d/1nJACsUzI4BmEuLcxkkpnITSUamS5nnN9/view?usp=share_link;0;0;0;0;NO;0
Balcarce;N°158/18;https://drive.google.com/file/d/15UdXYTYmbQR6DfccsJ3yE3HL9HdlSmRL/view?usp=share_link;0;0;0;0;NO;0
Baradero;Sin ordenanzas;;;;;;;
Benito Juárez;N°5542/20;https://drive.google.com/file/d/1szUQMt2EW7e8FaLoG7yspjcxnVmpiWNk/view?usp=share_link;500;0;0;0;NO;500
Berazategui;Sin ordenanzas;;;;;;;
Berisso;Sin ordenanzas;;;;;;;
Bolívar;N°2459/2017;https://drive.google.com/file/d/1MOR6mlbttxXkDOeWlFYOnizKzX8M2fEf/view?usp=share_link;1000;1000;2000;0;SI;7000
Bragado;N°3706;https://drive.google.com/file/d/1MsWaxB3oieSAwJs9oKGkpQ4qNfdOLcw7/view?usp=share_link;50;0;0;0;NO;50
Brandsen;Sin ordenanzas;;;;;;;
Campana;N°5792/11;https://drive.google.com/file/d/1e6DHMOXh5nbZEVY1mrq5GqNqBbTLRqaS/view?usp=share_link;1000;0;1000;0;NO;2000
Cañuelas;N°2671/10;https://drive.google.com/file/d/1bG3pTPpAaI-Pm1hS4FADK7qC1TvSDq6p/view?usp=share_link;200;2000;0;0;SI;2400
Capitán Sarmiento;N°1672/09;https://drive.google.com/file/d/1OODwBr8fT7q4uKY9z-N0PWJoRFPQNVbN/view?usp=share_link;0;500;0;0;0;250
Carlos Casares;Sin ordenanzas;;;;;;;
Carlos Tejedor;N°2350/14;https://drive.google.com/file/d/1pLWRx0k7zIbs9UP8JIiDRAQufsQKDxC3/view?usp=share_link;100;100;500;0;SI;1300
Carmen de Areco;N°2960;https://drive.google.com/file/d/1tXc0XCHhcSWReURxRyfxGilkNpZgR1KD/view?usp=share_link;50;0;100;0;0;150
Castelli;N°41/20;https://drive.google.com/file/d/14LxBf8mDwfonSBNPPNfnAK92JyS1GLBN/view;0;0;0;0;0;0
Chacabuco;N°7077/17;https://drive.google.com/file/d/17PON1a8YaZyTZsn1W2jS_H6NBPhkmzgd/view;0;300;300;0;SI;900
Chascomús;N°5329/18;https://drive.google.com/file/d/1SYzMhUHmQQIoIpyuTWHTSIbIZ8IkJ4rI/view;200;1000;0;0;SI;1400
Chivilcoy;Sin ordenanzas;;;;;;;
Colón;N°1713/96;https://drive.google.com/file/d/1OuFHovH96A8_nvWR_DkkHu1PHr5_IC6m/view;0;0;0;0;NO;0
Coronel Dorrego;N°3147/11;https://drive.google.com/file/d/11MkZOdHE2qsGUGb7uDK4QC3lg731uhsS/view;0;0;0;0;0;0
Coronel Pringles;N°4081 y N°4240;https://drive.google.com/file/d/13ywZytgxpclgnPwKvVbEcd0otniKuqNC/view --y-- https://drive.google.com/file/d/1l3jYUBWtyhgN8rCYfsvH0MRqpY6ahhZQ/view;0;2000;2000;0;NO;3000
Coronel Rosales;Sin ordenanzas;;;;;;;
Coronel Suárez;N°7404/20;https://drive.google.com/file/d/13s_4BtIqYVp3xT5FiV2PWCDR_aYpKFxo/view;0;0;0;0;NO;0
Daireaux;N°2383/20;https://drive.google.com/file/d/1tJeh0EBQbi7Tam5SNfkQyDpp6g68kTBg/view;0;0;0;0;NO;0
Dolores;Sin ordenanzas;;;;;;;
Ensenada;Sin ordenanzas;;;;;;;
Escobar;Sin ordenanzas;;;;;;;
Esteban Echeverría;Sin ordenanzas;;;;;;;
Exaltación de la Cruz;N°2557/19;https://drive.google.com/file/d/1AW4DeuFK74kXUfswNZcDdZ4RFqKRyqCV/view;0;0;0;0;NO;0
Ezeiza;Sin ordenanzas;;;;;;;
Florencio Varela;Sin ordenanzas;;;;;;;
Florentino Ameghino;N°736;https://drive.google.com/file/d/1qsh8jSLDiDJ3ZNThZbMMH2edQcSH7jjY/view;100;0;0;0;SI;200
General Alvarado;N°217/09;https://drive.google.com/file/d/14qUgyRVPtmtKG8sRou5G8XQPBbgbBeI4/view;0;0;0;0;NO;0
General Alvear;N°1669/11;https://drive.google.com/file/d/1beH_9iDpwMFxkZBtsGVRvyM45PsBbe04/view;100;0;0;0;NO;100
General Arenales;Sin ordenanzas;;;;;;;
General Belgrano;Sin ordenanzas;;;;;;;
General Guido;Sin ordenanzas;;;;;;;
General La Madrid;Sin ordenanzas;;;;;;;
General Las Heras;N°69/10;https://drive.google.com/file/d/1D0VJXPCNYY0kLalISYOPRTBO2qTmLHPi/view;200;0;0;0;SI;400
General Lavalle;Sin ordenanzas;;;;;;;
General Madariaga;N°1732/07;https://drive.google.com/file/d/19HTLfPZqHZIKvlOG1zKwfAFMtY-7xGMp/view;0;500;;;;250
General Paz;Sin ordenanzas;;;;;;;
General Pinto;N°4115/14;https://drive.google.com/file/d/1P2V2GV8GGhv65zJiK5oUPRplhej65Axt/view;100;500;0;0;SI;700
General Pueyrredón;N°21296/13;https://drive.google.com/file/d/1e9SyVgjmTLKnuf-DjxXBFn3xsRp23PNj/view;100;0;0;0;NO;100
General Rodríguez;Sin ordenanzas;;;;;;;
General San Martín;Sin ordenanzas;;;;;;;
General Viamonte;N°3150/15;https://drive.google.com/file/d/1d8Os0_U4O9Dr4Uf82GGwv-VQ6CyOTqcw/view;300;0;300;0;SI;1200
General Villegas;N°6124/20;https://drive.google.com/file/d/1Uam06tg77yMTlR6FiadjglRLcJOlE-V3/view;0;0;;;;0
Guaminí;N°13/16;https://drive.google.com/file/d/1nnnP_yzqfSVhcSLL7TIdh5icY1Vbh8U9/view;100;100;500;0;SI;1300
Hipólito Yrigoyen;N°96/13;;0;0;0;0;NO;0
